Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MND_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MND_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MND_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MND_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MND_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MND_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MND_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MND_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
31,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
33,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
34,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
35,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
37,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
38,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
39,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Built-up,Grassland
40,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
42,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
43,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
44,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
45,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
77,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
78,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
79,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
80,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
81,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
82,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
83,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
84,NULL,NULL,Shrubland,Water,Non_Wetland,Built-up,Grassland,Grassland
85,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
88,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Water
90,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
91,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
92,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Wetland,Grassland
93,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
94,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
95,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Water,Forest
96,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Wetland
97,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Forest
98,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Wetland,Grassland
