Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KMF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KMF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KMF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KMF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KMF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KMF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KMF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KMF_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
42,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
43,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
55,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
60,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
61,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
62,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
63,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
64,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
65,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
67,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
68,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
69,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
70,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
71,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
73,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
75,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
83,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
84,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
89,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
95,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
101,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
104,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
107,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
110,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
114,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
115,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
116,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
117,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
118,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
119,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
121,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
122,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
123,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
125,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
127,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
128,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,NULL
130,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
132,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
133,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
134,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
135,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
136,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
137,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Cropland
138,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
139,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Water
140,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
141,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
142,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
143,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
144,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
145,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
146,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
147,NULL,NULL,Water,Non_Water,Water,NULL,NULL,NULL
148,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
149,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Cropland
150,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
151,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
152,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
153,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
154,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
155,NULL,NULL,Water,Water,Water,NULL,NULL,Cropland
156,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
157,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
158,NULL,NULL,Water,Water,Water,NULL,NULL,Water
159,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
160,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
161,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
163,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
164,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
165,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
166,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
167,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
169,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
171,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
172,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
173,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
174,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
175,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
176,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
177,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
178,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
179,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
180,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
181,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
182,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
184,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
185,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
186,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
187,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
188,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
191,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Water
192,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
193,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
194,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
195,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
196,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
199,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
200,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
201,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
202,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
203,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
204,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
205,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
206,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
207,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
208,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
209,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
210,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
211,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
212,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
214,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
216,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
217,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
221,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
222,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
223,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
224,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
225,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
227,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
228,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
229,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
230,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
231,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
232,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
233,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
234,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
235,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
236,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
237,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Wetland
238,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
239,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
240,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
241,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
242,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
243,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Water
244,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
245,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Wetland
246,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
247,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Forest
248,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
249,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
251,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
252,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
253,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
255,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
256,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
257,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
258,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
259,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
260,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
261,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
262,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
263,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
264,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
265,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
266,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
267,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
268,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
269,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
270,NULL,Cropland,Water,NULL,Water,NULL,NULL,Wetland
271,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
272,NULL,Cropland,Water,NULL,Water,NULL,NULL,Built-up
273,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
274,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
275,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
276,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Bareland
277,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Water
278,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
279,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
280,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
281,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
282,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
283,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
284,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
285,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
286,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Water
287,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
288,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
289,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
290,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
291,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
292,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
293,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
294,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
296,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
297,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
298,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
299,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
300,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
301,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
302,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
303,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
304,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
305,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
306,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
307,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
308,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
309,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
310,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
311,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
312,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
313,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
316,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
317,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
318,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
319,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
320,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
321,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
323,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
324,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
325,NULL,Bareland,Cropland,Water,Non_Wetland,NULL,NULL,Water
326,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
327,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
328,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
329,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
330,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
331,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
332,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Water
333,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
334,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
335,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
336,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
337,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
338,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
