Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQT_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
41,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
42,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Bareland
43,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
45,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
79,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
80,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
82,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
83,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
87,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
88,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
89,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
90,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
91,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
92,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
94,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
95,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
97,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
98,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
