Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MQR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MQR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MQR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MQR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MQR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MQR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
27,NULL,NULL,Grassland,Water,Non_Wetland,Water
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Cropland,NULL,Non_Wetland,Water
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
38,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
39,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
40,NULL,NULL,Cropland,Water,Non_Wetland,Forest
41,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
42,NULL,NULL,Wetland,Non_Water,Wetland,Water
43,NULL,NULL,Wetland,Water,Wetland,Grassland
44,NULL,NULL,Wetland,Water,Wetland,Bareland
45,NULL,NULL,Wetland,Water,Wetland,Water
46,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
47,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
48,NULL,NULL,Bareland,NULL,Non_Wetland,Water
49,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
50,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
51,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
52,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
53,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
54,NULL,NULL,Bareland,Water,Non_Wetland,Water
55,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
56,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
57,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
58,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
59,NULL,NULL,Water,NULL,Water,Grassland
60,NULL,NULL,Water,NULL,Water,Bareland
61,NULL,NULL,Water,NULL,Water,Water
62,NULL,NULL,Water,NULL,Water,Forest
63,NULL,NULL,Water,Non_Water,Water,Grassland
64,NULL,NULL,Water,Non_Water,Water,Bareland
65,NULL,NULL,Water,Non_Water,Water,Forest
66,NULL,NULL,Water,Water,Water,Bareland
67,NULL,NULL,Water,Water,Water,Water
68,NULL,NULL,Water,Water,Water,Forest
69,NULL,NULL,Forest,NULL,Non_Wetland,NULL
70,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
71,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
72,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
73,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
74,NULL,NULL,Forest,NULL,Non_Wetland,Water
75,NULL,NULL,Forest,NULL,Non_Wetland,Forest
76,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
79,NULL,NULL,Forest,Water,Non_Wetland,Grassland
80,NULL,NULL,Forest,Water,Non_Wetland,Cropland
81,NULL,NULL,Forest,Water,Non_Wetland,Bareland
82,NULL,NULL,Forest,Water,Non_Wetland,Forest
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
84,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
88,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
89,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
90,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
91,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
92,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
93,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
94,NULL,Cropland,Cropland,NULL,Non_Wetland,Water
95,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
96,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
97,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
98,NULL,Cropland,Bareland,NULL,Non_Wetland,Forest
99,NULL,Cropland,Built-up,NULL,Non_Wetland,Bareland
100,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
101,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
102,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
103,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
104,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
105,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
106,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL
107,NULL,Wetland,Shrubland,NULL,Non_Wetland,Grassland
108,NULL,Wetland,Shrubland,NULL,Non_Wetland,Bareland
109,NULL,Wetland,Shrubland,NULL,Non_Wetland,Forest
110,NULL,Wetland,Shrubland,Water,Non_Wetland,Grassland
111,NULL,Wetland,Grassland,NULL,Non_Wetland,Grassland
112,NULL,Wetland,Grassland,NULL,Non_Wetland,Forest
113,NULL,Wetland,Bareland,Water,Non_Wetland,Grassland
114,NULL,Wetland,Forest,NULL,Non_Wetland,NULL
115,NULL,Wetland,Forest,NULL,Non_Wetland,Grassland
116,NULL,Wetland,Forest,NULL,Non_Wetland,Bareland
117,NULL,Wetland,Forest,NULL,Non_Wetland,Forest
118,NULL,Bareland,NULL,NULL,Non_Wetland,Bareland
119,NULL,Bareland,NULL,NULL,Non_Wetland,Forest
120,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
