Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NPF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NPF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NPF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NPF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NPF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NPF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NPF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
8,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
9,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
11,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
12,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Built-up
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
40,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
41,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
42,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
43,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
44,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
45,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
46,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
47,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
48,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Water
49,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
50,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
51,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Grassland
52,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Wetland,Wetland
53,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
