Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
