Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NYE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NYE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NYE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NYE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NYE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NYE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NYE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NYE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
7,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
8,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
11,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Built-up
12,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
13,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
19,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
20,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
23,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
24,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
25,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
26,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
27,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
28,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
38,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
46,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
50,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
