Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KYA_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Bareland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
147,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
162,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
163,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
165,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
168,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
192,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
193,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Forest
194,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,NULL
195,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
197,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
198,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Wetland
199,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
200,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
201,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
202,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
207,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
