Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KUR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KUR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KUR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KUR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KUR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KUR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KUR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KUR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
