Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NEF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
13,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
15,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Bareland
16,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Built-up
18,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Bareland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Built-up
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
44,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
45,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
46,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
47,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Wetland
48,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Bareland,Bareland
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
53,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
54,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
55,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
56,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
57,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
58,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Grassland
59,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Bareland,Bareland
60,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
61,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Cropland
62,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
63,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Bareland
64,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
65,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
66,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
67,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
