Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MKB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MKB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MKB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MKB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MKB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MKB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MKB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MKB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
