Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NUJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NUJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NUJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NUJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NUJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland
4,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland
5,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Cropland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
18,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
19,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
21,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
22,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
23,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
24,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
27,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
28,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Forest
37,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
38,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland
39,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water
40,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
41,NULL,NULL,Wetland,NULL,Wetland,NULL,Cropland
42,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
43,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
44,NULL,NULL,Wetland,NULL,Wetland,NULL,Built-up
45,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
46,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
47,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
48,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Cropland
49,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
52,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
53,NULL,NULL,Wetland,Water,Wetland,NULL,Cropland
54,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
55,NULL,NULL,Wetland,Water,Wetland,NULL,Water
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,Wetland
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
58,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Wetland
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
62,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Built-up
63,NULL,NULL,Water,NULL,Water,NULL,Grassland
64,NULL,NULL,Water,NULL,Water,NULL,Wetland
65,NULL,NULL,Water,NULL,Water,NULL,Water
66,NULL,NULL,Water,NULL,Water,NULL,Forest
67,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
68,NULL,NULL,Water,Non_Water,Water,NULL,Water
69,NULL,NULL,Water,Water,Water,NULL,Grassland
70,NULL,NULL,Water,Water,Water,NULL,Wetland
71,NULL,NULL,Water,Water,Water,NULL,Water
72,NULL,NULL,Water,Water,Water,NULL,Forest
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Cropland
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
76,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
77,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
79,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
80,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
81,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
82,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
83,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
84,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Grassland
85,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,Wetland
86,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
87,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Cropland
88,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland
89,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
90,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Built-up
91,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
92,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
93,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
94,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,Wetland
95,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Grassland
96,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Wetland
97,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,Forest
98,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Cropland
100,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Wetland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Built-up
103,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Water
104,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
105,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
106,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Cropland
107,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,Wetland
108,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,Cropland
109,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland
110,NULL,Cropland,Wetland,NULL,Wetland,NULL,Wetland
111,NULL,Cropland,Wetland,NULL,Wetland,NULL,Water
112,NULL,Cropland,Wetland,NULL,Wetland,NULL,Forest
113,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Wetland
114,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,Forest
115,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Grassland
116,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Cropland
117,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Wetland
118,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Built-up
119,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,Forest
120,NULL,Cropland,Water,NULL,Water,NULL,Water
121,NULL,Cropland,Water,Water,Water,NULL,Water
122,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
123,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Cropland
124,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland
125,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Water
126,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
127,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Grassland
128,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Wetland
129,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,Forest
130,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
131,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
132,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Grassland
133,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Wetland
134,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
135,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Wetland
136,NULL,Wetland,Wetland,NULL,Wetland,NULL,Grassland
137,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
138,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water
139,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
140,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
141,NULL,Wetland,Wetland,Water,Wetland,NULL,Wetland
142,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
143,NULL,Wetland,Water,NULL,Water,NULL,Wetland
144,NULL,Wetland,Water,Water,Water,NULL,Wetland
145,NULL,Wetland,Water,Water,Water,NULL,Water
146,NULL,Wetland,Water,Water,Water,NULL,Forest
147,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
148,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
149,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
150,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,Grassland
151,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,Grassland
152,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
153,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Wetland
154,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Built-up
156,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Water
157,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Forest
158,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
159,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
160,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Water
161,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
162,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
163,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Bareland
164,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Forest
165,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland
166,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Cropland
167,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Wetland
168,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Built-up
169,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Forest
170,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
171,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Cropland
172,NULL,Bareland,Cropland,Non_Water,Non_Wetland,NULL,Wetland
173,NULL,Bareland,Wetland,NULL,Wetland,NULL,Grassland
174,NULL,Bareland,Wetland,NULL,Wetland,NULL,Wetland
175,NULL,Bareland,Wetland,NULL,Wetland,NULL,Water
176,NULL,Bareland,Wetland,NULL,Wetland,NULL,Forest
177,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
178,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Wetland
179,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Forest
180,NULL,Bareland,Wetland,Water,Wetland,NULL,Built-up
181,NULL,Bareland,Wetland,Water,Wetland,NULL,Water
182,NULL,Bareland,Wetland,Water,Wetland,NULL,Forest
183,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,Grassland
