Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MPC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MPC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MPC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MPC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MPC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MPC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MPC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MPC_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
20,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
42,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
43,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
44,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
45,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
46,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
47,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
48,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
49,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
50,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
51,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
52,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
53,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Water,Forest
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
86,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
87,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
88,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
89,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
90,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Wetland,Grassland
91,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
92,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
93,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
94,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
96,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
97,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Grassland
98,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Wetland
99,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
100,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
