Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MGQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
