Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18NTF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NTF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NTF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NTF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NTF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18NTF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Water
4,NULL,NULL,NULL,NULL,Non_Wetland,Forest
5,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
6,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland
7,NULL,NULL,NULL,Water,Non_Wetland,Grassland
8,NULL,NULL,NULL,Water,Non_Wetland,Bareland
9,NULL,NULL,NULL,Water,Non_Wetland,Water
10,NULL,NULL,NULL,Water,Non_Wetland,Forest
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
20,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
21,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
22,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
23,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
24,NULL,NULL,Shrubland,Water,Non_Wetland,Water
25,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
28,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
29,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
30,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
31,NULL,NULL,Grassland,NULL,Non_Wetland,Water
32,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
34,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
35,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
36,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
37,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
38,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
39,NULL,NULL,Grassland,Water,Non_Wetland,Water
40,NULL,NULL,Grassland,Water,Non_Wetland,Forest
41,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
42,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
43,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
44,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
45,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
46,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
47,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
48,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
49,NULL,NULL,Cropland,Water,Non_Wetland,Water
50,NULL,NULL,Wetland,NULL,Wetland,Grassland
51,NULL,NULL,Wetland,NULL,Wetland,Water
52,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
54,NULL,NULL,Wetland,Non_Water,Wetland,Water
55,NULL,NULL,Wetland,Non_Water,Wetland,Forest
56,NULL,NULL,Wetland,Water,Wetland,Grassland
57,NULL,NULL,Wetland,Water,Wetland,Bareland
58,NULL,NULL,Wetland,Water,Wetland,Water
59,NULL,NULL,Wetland,Water,Wetland,Forest
60,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
61,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
62,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
63,NULL,NULL,Bareland,NULL,Non_Wetland,Built-up
64,NULL,NULL,Bareland,NULL,Non_Wetland,Water
65,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
66,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
67,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
68,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
70,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
71,NULL,NULL,Bareland,Water,Non_Wetland,Water
72,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
73,NULL,NULL,Built-up,NULL,Non_Wetland,Cropland
74,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
75,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
76,NULL,NULL,Built-up,NULL,Non_Wetland,Water
77,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
78,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
79,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
80,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
81,NULL,NULL,Water,NULL,Water,Grassland
82,NULL,NULL,Water,NULL,Water,Bareland
83,NULL,NULL,Water,NULL,Water,Water
84,NULL,NULL,Water,NULL,Water,Forest
85,NULL,NULL,Water,Non_Water,Water,Grassland
86,NULL,NULL,Water,Non_Water,Water,Bareland
87,NULL,NULL,Water,Non_Water,Water,Water
88,NULL,NULL,Water,Non_Water,Water,Forest
89,NULL,NULL,Water,Water,Water,Grassland
90,NULL,NULL,Water,Water,Water,Bareland
91,NULL,NULL,Water,Water,Water,Water
92,NULL,NULL,Water,Water,Water,Forest
93,NULL,NULL,Forest,NULL,Non_Wetland,NULL
94,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
95,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
96,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
97,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
98,NULL,NULL,Forest,NULL,Non_Wetland,Water
99,NULL,NULL,Forest,NULL,Non_Wetland,Forest
100,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
101,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
102,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
103,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
104,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
105,NULL,NULL,Forest,Water,Non_Wetland,Grassland
106,NULL,NULL,Forest,Water,Non_Wetland,Bareland
107,NULL,NULL,Forest,Water,Non_Wetland,Water
108,NULL,NULL,Forest,Water,Non_Wetland,Forest
109,NULL,Cropland,NULL,NULL,Non_Wetland,Grassland
110,NULL,Cropland,NULL,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
113,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
114,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
115,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
116,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
117,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
118,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
119,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
120,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL
121,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
122,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
