Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24LVR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24LVR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24LVR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24LVR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24LVR_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
41,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
174,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Cropland
178,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
179,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
183,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
185,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
187,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
188,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Built-up
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,NULL
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Bareland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Bareland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Bareland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Bareland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Bareland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Water
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Forest
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,NULL
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Cropland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Bareland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Forest
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Water
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Bareland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Cropland
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Cropland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
309,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
310,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
311,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
312,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
313,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
314,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
315,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
316,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
317,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
318,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Cropland
319,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Bareland
320,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Water
321,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
322,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
324,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
325,NULL,NULL,NULL,Water,Non_Wetland,NULL,Bareland,Grassland
326,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
328,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
329,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
330,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
331,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
