Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MNS_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Cropland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Built-up,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
146,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Wetland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
180,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
183,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
184,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
186,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
189,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Water
190,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
193,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
194,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
195,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
198,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Built-up
201,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Forest
202,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
203,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
204,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
205,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
207,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
208,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
209,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
210,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,NULL
212,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
213,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
214,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
215,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
216,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
217,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
218,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Built-up
233,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Built-up
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Cropland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Wetland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Cropland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Wetland,Grassland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,NULL
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Bareland
284,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
285,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
287,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
288,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
289,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Forest
290,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
293,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
294,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Grassland,Grassland
295,NULL,NULL,NULL,Water,Non_Wetland,Cropland,Wetland,Wetland
296,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Wetland
297,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
299,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
300,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
301,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
302,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
304,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
306,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Bareland
307,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
308,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
309,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
310,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
311,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Bareland
312,NULL,NULL,NULL,Water,Non_Wetland,Forest,Forest,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
