Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMU_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMU_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MMU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
