Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KHT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KHT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KHT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KHT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KHT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KHT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KHT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KHT_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
42,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
43,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
44,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
46,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
47,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
48,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
49,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
51,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
52,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
53,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
55,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
56,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
59,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
60,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
61,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
62,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
65,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
67,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
68,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
70,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
71,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
72,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
73,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
74,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
75,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
77,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
78,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
80,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
82,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
84,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
85,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
87,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
88,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
89,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
90,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
91,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
92,NULL,NULL,Water,Water,Water,NULL,NULL,Water
93,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
94,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
97,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
98,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
99,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
100,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
103,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
104,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
112,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
114,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
115,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
116,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
120,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
122,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
123,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
124,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
125,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
126,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
128,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
129,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
130,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
131,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
132,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
133,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
134,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
135,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
137,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
139,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
141,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
142,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
143,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
145,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
148,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
149,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
150,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
151,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
152,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
153,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
154,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
155,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
156,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
157,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
158,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
159,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
160,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
161,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
163,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
164,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
165,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
166,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
167,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
170,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
171,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
175,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
177,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
178,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
180,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
181,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
183,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
184,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
185,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
186,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
187,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
188,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
189,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
190,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,NULL
191,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
192,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
193,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
194,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
195,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
197,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
198,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
199,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
200,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
202,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
203,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
204,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
205,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
208,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,NULL
209,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
210,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
211,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Water
212,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
213,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
215,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
217,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
218,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
219,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
220,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
221,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
223,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
225,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Built-up,Forest,Water,Non_Wetland,NULL,NULL,Water
227,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
228,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
229,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
230,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Water
231,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
232,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
233,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
234,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
235,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
236,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
238,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
239,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
240,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
242,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
243,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
244,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
245,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
246,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
247,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
248,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
249,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
250,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
251,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
252,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
253,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
254,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
256,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
257,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
258,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
259,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
260,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
262,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
263,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
264,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
265,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
266,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
267,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
268,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
269,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
270,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
271,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
272,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
273,Grassland,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
274,Grassland,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
275,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
276,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
277,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
278,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
279,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
280,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
281,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
282,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
283,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
284,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
285,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
286,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
287,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
288,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
289,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
290,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
291,Grassland,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
292,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
293,Grassland,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
294,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
295,Grassland,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
296,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
297,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
298,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
299,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
300,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
301,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
302,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Water
303,Cropland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
304,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Cropland
305,Cropland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
306,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
307,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
308,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
309,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
310,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
311,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
312,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
313,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
314,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
315,Cropland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
316,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
317,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
318,Cropland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
319,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
320,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
321,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
322,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
323,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
324,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
325,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
326,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
327,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
328,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
329,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
330,Cropland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
