Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LBE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LBE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LBE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LBE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LBE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LBE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LBE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LBE_M_R
29,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
40,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
41,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
42,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Built-up
43,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
44,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
46,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
48,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
49,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
50,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
53,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
56,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
57,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
58,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
60,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
61,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
62,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
64,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
65,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
67,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
69,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
70,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
71,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
72,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
75,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
76,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Built-up
77,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
78,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
79,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
80,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
81,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
82,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Built-up
83,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
84,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
85,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
86,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
87,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
88,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
89,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
90,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
91,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
92,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
93,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
94,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
95,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
96,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
98,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
99,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
100,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Cropland
102,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
103,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
105,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
106,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
107,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
110,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
111,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Wetland
113,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
114,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
116,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
117,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Built-up
118,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
119,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
120,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
121,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
122,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Wetland
123,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
124,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
125,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
126,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
129,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
130,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
131,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
132,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
133,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
134,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
135,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
136,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
137,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
138,NULL,NULL,Water,NULL,Water,NULL,NULL,Permanent_ice_and_snow
139,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
140,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
141,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
142,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
143,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
144,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
145,NULL,NULL,Water,Water,Water,NULL,NULL,Water
146,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
147,NULL,NULL,Permanent_ice_and_snow,NULL,Non_Wetland,NULL,NULL,Bareland
148,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
149,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
151,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
152,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
153,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
154,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
155,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
156,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
157,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
158,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
159,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
160,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
161,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
162,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
163,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
164,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
165,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
166,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
167,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
168,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
169,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
171,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
174,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
176,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
177,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
179,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
180,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
181,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
182,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
184,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
186,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
188,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
189,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
191,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
192,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
193,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
194,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
196,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
197,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
198,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
199,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
200,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
201,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
203,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
204,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
205,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
207,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Wetland
208,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
209,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
210,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
211,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
212,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
214,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
215,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
216,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
217,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
218,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
219,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Wetland
220,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
221,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
223,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
225,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
226,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
227,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
228,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
229,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
230,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
231,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
232,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
233,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
234,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
235,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
236,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
237,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
239,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
240,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
242,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
243,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Water
244,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
245,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
246,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
247,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
248,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
251,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
252,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
253,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
254,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
255,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
256,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
257,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
258,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
259,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
260,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
261,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
262,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Wetland
263,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Water
264,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
265,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
266,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
267,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
268,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
269,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
270,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
271,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
272,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
273,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
274,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
275,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
276,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
277,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
278,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
279,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
281,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
282,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
283,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
284,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
285,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
286,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
287,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Grassland
288,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
289,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
290,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
291,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
292,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
293,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
294,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
295,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Permanent_ice_and_snow
296,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
297,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
298,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
299,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
300,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
301,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
302,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
303,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
304,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
305,NULL,Bareland,Water,NULL,Water,NULL,NULL,Permanent_ice_and_snow
306,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
307,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
308,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
309,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
310,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
311,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
313,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
314,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
315,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
316,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
317,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
318,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
319,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
320,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
321,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Cropland
322,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
323,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
324,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
325,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
326,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
327,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
328,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
329,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
330,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
331,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
332,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
333,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
