Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LBR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LBR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LBR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LBR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LBR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LBR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LBR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
