Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19NGD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19NGD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19NGD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19NGD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19NGD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19NGD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19NGD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19NGD_M_R
29,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
30,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
36,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
37,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
38,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
40,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
41,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
42,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
45,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
46,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
47,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
48,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
49,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
50,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
51,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
54,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
56,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
57,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
58,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
59,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
60,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
61,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
62,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
63,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
64,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
65,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
66,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
67,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
68,NULL,NULL,Water,Water,Water,NULL,NULL,Water
69,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
70,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
71,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
73,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
74,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
75,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
76,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
78,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
79,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
80,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
82,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
83,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
84,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
85,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
86,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
87,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
88,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
89,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
90,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
91,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
92,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
93,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
94,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
95,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
96,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
97,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
98,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
99,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
100,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
101,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
102,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
103,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
104,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
105,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
106,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
107,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
108,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
109,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
111,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
113,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
114,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
115,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
116,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
117,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
118,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
121,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
122,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
123,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
125,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
127,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
128,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
129,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Wetland
130,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
131,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
132,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Forest
133,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
137,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
138,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
139,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
140,NULL,Built-up,Water,NULL,Water,NULL,NULL,Bareland
141,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
142,NULL,Built-up,Water,Water,Water,NULL,NULL,Forest
143,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
144,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
145,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
146,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
147,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
149,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
150,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
151,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
152,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
154,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
155,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
156,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Wetland
157,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
158,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
159,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
160,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
161,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
162,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
163,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
164,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
165,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
166,NULL,Water,Water,NULL,Water,NULL,NULL,Grassland
167,NULL,Water,Water,NULL,Water,NULL,NULL,Wetland
168,NULL,Water,Water,NULL,Water,NULL,NULL,Water
169,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
170,NULL,Water,Water,Non_Water,Water,NULL,NULL,Grassland
171,NULL,Water,Water,Non_Water,Water,NULL,NULL,Water
172,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
173,NULL,Water,Water,Water,Water,NULL,NULL,Grassland
174,NULL,Water,Water,Water,Water,NULL,NULL,Wetland
175,NULL,Water,Water,Water,Water,NULL,NULL,Water
176,NULL,Water,Water,Water,Water,NULL,NULL,Forest
177,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
178,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
180,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Water
181,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
182,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
183,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
185,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
186,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
187,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
188,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
190,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
191,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
192,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
194,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
195,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
196,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
197,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
198,NULL,Forest,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
199,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Grassland
200,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Wetland
201,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
203,NULL,Forest,Water,NULL,Water,NULL,NULL,Wetland
204,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
205,NULL,Forest,Water,Non_Water,Water,NULL,NULL,Grassland
206,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
207,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
208,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
209,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
210,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
211,NULL,Forest,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
212,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Grassland
213,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Wetland
214,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
215,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
216,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
217,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
218,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
219,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
220,Grassland,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
221,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
222,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
223,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
224,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
225,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
226,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
227,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
228,Grassland,NULL,Water,Water,Water,NULL,NULL,Grassland
229,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
230,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
231,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
232,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
233,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
234,Grassland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
235,Grassland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
236,Grassland,Wetland,Water,Water,Water,NULL,NULL,Water
237,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Grassland
238,Grassland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
239,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
240,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
241,Grassland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
242,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
243,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
244,Cropland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
245,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
246,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
247,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
248,Cropland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
249,Cropland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
250,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
251,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
252,Cropland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
253,Cropland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
254,Cropland,NULL,Water,NULL,Water,NULL,NULL,Grassland
255,Cropland,NULL,Water,NULL,Water,NULL,NULL,Wetland
256,Cropland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
257,Cropland,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
258,Cropland,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
259,Cropland,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
260,Cropland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
261,Cropland,Water,Wetland,Water,Wetland,NULL,NULL,Water
262,Cropland,Water,Water,Water,Water,NULL,NULL,Water
263,Cropland,Water,Forest,NULL,Non_Wetland,NULL,NULL,Water
264,Cropland,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
265,Cropland,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
266,Wetland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
267,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
268,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
269,Wetland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
270,Wetland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
271,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
272,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
273,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
274,Wetland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
275,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
276,Wetland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
277,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
278,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
279,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
280,Wetland,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
281,Wetland,NULL,Water,NULL,Water,NULL,NULL,Grassland
282,Wetland,NULL,Water,NULL,Water,NULL,NULL,Wetland
283,Wetland,NULL,Water,NULL,Water,NULL,NULL,Forest
284,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
285,Wetland,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
286,Wetland,NULL,Water,Water,Water,NULL,NULL,Grassland
287,Wetland,NULL,Water,Water,Water,NULL,NULL,Wetland
288,Wetland,NULL,Water,Water,Water,NULL,NULL,Water
289,Wetland,NULL,Water,Water,Water,NULL,NULL,Forest
290,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
291,Wetland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
292,Wetland,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
293,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
294,Wetland,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
295,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
296,Wetland,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
297,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
298,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
299,Wetland,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Water
300,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
301,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
302,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
303,Wetland,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
304,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Grassland
305,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Wetland
306,Wetland,Wetland,Water,NULL,Water,NULL,NULL,Forest
307,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
308,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
309,Wetland,Wetland,Water,Non_Water,Water,NULL,NULL,Water
310,Wetland,Wetland,Water,Water,Water,NULL,NULL,Grassland
311,Wetland,Wetland,Water,Water,Water,NULL,NULL,Wetland
312,Wetland,Wetland,Water,Water,Water,NULL,NULL,Water
313,Wetland,Wetland,Water,Water,Water,NULL,NULL,Forest
314,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Bareland
315,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Water
316,Wetland,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
317,Wetland,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
318,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
319,Wetland,Water,Wetland,Water,Wetland,NULL,NULL,Water
320,Wetland,Water,Water,NULL,Water,NULL,NULL,Wetland
321,Wetland,Water,Water,NULL,Water,NULL,NULL,Water
322,Wetland,Water,Water,Non_Water,Water,NULL,NULL,Grassland
323,Wetland,Water,Water,Water,Water,NULL,NULL,Grassland
324,Wetland,Water,Water,Water,Water,NULL,NULL,Wetland
325,Wetland,Water,Water,Water,Water,NULL,NULL,Water
326,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Wetland
327,Wetland,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
328,Wetland,Forest,Water,NULL,Water,NULL,NULL,Grassland
329,Wetland,Forest,Water,NULL,Water,NULL,NULL,Forest
330,Bareland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
331,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
332,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
333,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
334,Bareland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
335,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
336,Bareland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
337,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
338,Bareland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
339,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
340,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
341,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
342,Bareland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
343,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
344,Bareland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
345,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
346,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
347,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
348,Bareland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
349,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
350,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
351,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
352,Bareland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
353,Bareland,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
