Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KRD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KRD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KRD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KRD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KRD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KRD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KRD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KRD_M_R
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
44,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Water
46,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
47,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
48,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
49,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
50,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
51,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
53,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
54,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
55,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
59,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
65,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
66,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
67,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
68,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
69,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
70,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
71,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
72,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
73,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
74,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
75,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
76,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
77,NULL,NULL,Water,Water,Water,NULL,NULL,Water
78,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
85,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
87,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
89,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
90,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
91,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
92,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
93,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
94,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
97,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
98,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
99,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
100,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
102,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
110,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
111,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
112,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
113,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
114,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
115,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
116,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
117,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
118,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
119,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
120,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
121,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
122,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
123,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
124,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
125,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
126,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
127,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
129,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
130,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
131,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
132,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
133,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Water
134,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
135,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
136,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
137,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
138,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
140,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
142,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
143,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
145,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
146,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
147,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
150,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
151,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
152,NULL,Cropland,Water,NULL,Water,NULL,NULL,Bareland
153,NULL,Cropland,Water,NULL,Water,NULL,NULL,Water
154,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
155,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Grassland
156,NULL,Cropland,Water,Non_Water,Water,NULL,NULL,Forest
157,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
158,NULL,Cropland,Water,Water,Water,NULL,NULL,Water
159,NULL,Cropland,Water,Water,Water,NULL,NULL,Forest
160,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
161,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
163,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
164,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
165,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
166,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
170,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
171,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
172,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
173,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
174,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
175,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
176,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
177,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
178,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
179,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
186,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
187,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
188,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
189,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
190,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Built-up,Water,NULL,Water,NULL,NULL,Grassland
192,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
193,NULL,Built-up,Water,Water,Water,NULL,NULL,Bareland
194,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
195,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
197,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
198,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
200,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
202,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
203,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
204,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
205,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
206,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
207,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
208,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Forest,NULL,Water,Non_Wetland,NULL,NULL,Forest
210,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
211,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
213,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Water
215,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
216,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
217,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
218,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
219,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
221,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Forest
225,NULL,Forest,Wetland,Water,Wetland,NULL,NULL,Water
226,NULL,Forest,Water,NULL,Water,NULL,NULL,Grassland
227,NULL,Forest,Water,NULL,Water,NULL,NULL,Water
228,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
229,NULL,Forest,Water,Water,Water,NULL,NULL,Water
230,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
231,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
232,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
233,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Forest,Forest,Water,Non_Wetland,NULL,NULL,Water
235,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
236,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
237,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
238,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
239,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
240,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
241,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
242,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
243,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
244,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
245,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
246,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
247,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
248,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
249,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
250,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
251,Grassland,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
252,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
253,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
254,Grassland,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
255,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
256,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
257,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
258,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
259,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
260,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
261,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
262,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
263,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
264,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
265,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
266,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
267,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
268,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
269,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
270,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
271,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
272,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
273,Grassland,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
274,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
275,Grassland,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
276,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
277,Grassland,NULL,Wetland,Water,Wetland,NULL,NULL,Water
278,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
279,Grassland,NULL,Water,NULL,Water,NULL,NULL,NULL
280,Grassland,NULL,Water,NULL,Water,NULL,NULL,Forest
281,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
282,Grassland,NULL,Water,Non_Water,Water,NULL,NULL,Forest
283,Grassland,NULL,Water,Water,Water,NULL,NULL,Wetland
284,Grassland,NULL,Water,Water,Water,NULL,NULL,Water
285,Grassland,NULL,Water,Water,Water,NULL,NULL,Forest
286,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
287,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
288,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
289,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
290,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
291,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
292,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
294,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
295,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
296,Grassland,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
297,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
298,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
299,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
300,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
301,Grassland,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
302,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
303,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
304,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
305,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
306,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
307,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
308,Grassland,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
309,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
310,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
311,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
312,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
313,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
314,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
315,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
316,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
317,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
318,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
319,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
320,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
321,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
322,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
323,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
324,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
325,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
326,Grassland,Cropland,Water,NULL,Water,NULL,NULL,NULL
327,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
328,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Forest
329,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
330,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
331,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
332,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
333,Grassland,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
334,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
335,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
336,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
337,Grassland,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
338,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
339,Grassland,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
