Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KHV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KHV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KHV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KHV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KHV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KHV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KHV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KHV_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
33,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
34,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
41,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
46,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
47,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
53,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
60,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
61,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
63,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
64,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
65,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
66,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
67,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
68,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
73,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
74,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
75,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
76,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Water
77,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
78,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Forest
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
80,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
82,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
83,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
84,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
85,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
87,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
88,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Cropland
89,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
90,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
91,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
93,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
94,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Cropland
95,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
96,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
97,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
98,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
99,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
100,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
101,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
102,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
103,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
106,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
107,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
108,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
109,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
115,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
116,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
118,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
119,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
120,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
121,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
122,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
123,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
124,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
125,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
126,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
127,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
128,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
129,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
130,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
131,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
135,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
136,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
137,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
138,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
139,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
140,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
141,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
142,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Water
143,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
144,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Water
145,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
146,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
147,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Bareland
149,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Water
150,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Water
151,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
152,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
153,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
154,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
155,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
156,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
157,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
158,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
160,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
161,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
162,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
163,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
165,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
167,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
169,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
170,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
172,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
174,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
175,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
176,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
177,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
178,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
179,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
180,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
181,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
183,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
185,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
186,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
187,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
188,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
189,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
190,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
192,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
193,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
194,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
195,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
196,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
197,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
198,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
199,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
200,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
202,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
203,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
204,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
205,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
207,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
208,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
209,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
210,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
211,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
212,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Water
213,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
214,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
215,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
216,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
217,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
218,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
219,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
220,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
221,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
222,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
223,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
224,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
225,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
226,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
227,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
228,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
230,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
231,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
232,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
233,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
235,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
236,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
238,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
239,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
240,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
241,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
243,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
244,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
245,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
246,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
247,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
248,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
249,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
250,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
251,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
252,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
253,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
254,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
255,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
256,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
257,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
258,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
259,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
260,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
261,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
262,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
263,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
265,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
266,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
267,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Water
268,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
269,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
270,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
271,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
272,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
273,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
274,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
275,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
276,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Water
277,NULL,Water,NULL,NULL,Non_Wetland,NULL,NULL,Forest
278,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
279,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
281,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
282,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
284,NULL,Water,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
285,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Water,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
287,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
288,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
289,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
290,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
291,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
292,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,NULL
293,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
294,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
295,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
296,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
297,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
298,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Water
299,NULL,Water,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
300,NULL,Water,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
301,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
302,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
303,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
304,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
305,NULL,Water,Forest,Water,Non_Wetland,NULL,NULL,Forest
306,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
307,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
308,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
309,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
310,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
311,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
312,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
313,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
314,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
315,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
316,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
317,NULL,Forest,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
318,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
319,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
320,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
321,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
322,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
323,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
324,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
325,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
326,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,Cropland
327,NULL,Forest,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
328,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
329,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
330,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
331,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
332,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
