Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20MQS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MQS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MQS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MQS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MQS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MQS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MQS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20MQS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
33,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
35,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
49,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
50,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
51,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
52,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
54,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
55,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Bareland
56,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
64,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
65,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
66,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
67,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
68,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
69,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
70,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
72,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
73,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
74,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
75,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
76,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
77,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
78,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
79,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
81,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
82,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
83,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
84,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Bareland
85,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Built-up
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
