Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LVC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LVC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LVC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LVC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LVC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LVC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LVC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LVC_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
151,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
152,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Forest
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
209,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
210,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
211,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
212,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
213,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Forest
214,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Forest
215,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Built-up
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Water
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
