Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
29,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
63,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
65,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Forest
76,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
77,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
78,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
79,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
80,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Forest
81,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
82,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
83,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
84,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Forest
86,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
87,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
88,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Water
89,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
90,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Forest,Forest
91,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
