Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LQQ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LQQ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LQQ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LQQ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LQQ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LQQ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LQQ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
