Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LYG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LYG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LYG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LYG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LYG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LYG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LYG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LYG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
37,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
