Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LWF_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Cropland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
21,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
22,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
