Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KCV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KCV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KCV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KCV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KCV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KCV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KCV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KCV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Cropland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Cropland
12,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
25,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
36,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
40,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
43,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
