Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland
5,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland
6,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland
7,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Cropland
10,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up
13,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water
14,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest
15,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
16,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Wetland
17,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
18,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Water
19,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,Forest
20,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Grassland
21,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Wetland
22,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Bareland
23,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Water
24,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,Forest
25,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland
26,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland
27,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Bareland
28,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Built-up
29,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Water
30,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest
31,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,Grassland
32,NULL,NULL,Grassland,Water,Non_Wetland,NULL,Wetland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Cropland
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Wetland
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Bareland
37,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Built-up
38,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Water
39,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Forest
40,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Wetland
41,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,Bareland
42,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Grassland
43,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Wetland
44,NULL,NULL,Cropland,Water,Non_Wetland,NULL,Water
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL
46,NULL,NULL,Wetland,NULL,Wetland,NULL,Grassland
47,NULL,NULL,Wetland,NULL,Wetland,NULL,Cropland
48,NULL,NULL,Wetland,NULL,Wetland,NULL,Wetland
49,NULL,NULL,Wetland,NULL,Wetland,NULL,Bareland
50,NULL,NULL,Wetland,NULL,Wetland,NULL,Water
51,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest
52,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Grassland
53,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Wetland
54,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Water
55,NULL,NULL,Wetland,Non_Water,Wetland,NULL,Forest
56,NULL,NULL,Wetland,Water,Wetland,NULL,Grassland
57,NULL,NULL,Wetland,Water,Wetland,NULL,Cropland
58,NULL,NULL,Wetland,Water,Wetland,NULL,Wetland
59,NULL,NULL,Wetland,Water,Wetland,NULL,Bareland
60,NULL,NULL,Wetland,Water,Wetland,NULL,Water
61,NULL,NULL,Wetland,Water,Wetland,NULL,Forest
62,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Grassland
63,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Bareland
64,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Built-up
65,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,Forest
66,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,Bareland
67,NULL,NULL,Built-up,Water,Non_Wetland,NULL,Bareland
68,NULL,NULL,Water,NULL,Water,NULL,Grassland
69,NULL,NULL,Water,NULL,Water,NULL,Wetland
70,NULL,NULL,Water,NULL,Water,NULL,Water
71,NULL,NULL,Water,NULL,Water,NULL,Forest
72,NULL,NULL,Water,Non_Water,Water,NULL,Grassland
73,NULL,NULL,Water,Non_Water,Water,NULL,Wetland
74,NULL,NULL,Water,Water,Water,NULL,Grassland
75,NULL,NULL,Water,Water,Water,NULL,Wetland
76,NULL,NULL,Water,Water,Water,NULL,Bareland
77,NULL,NULL,Water,Water,Water,NULL,Water
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Grassland
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Cropland
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Wetland
81,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Bareland
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Built-up
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Water
84,NULL,NULL,Forest,NULL,Non_Wetland,NULL,Forest
85,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Grassland
86,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Wetland
87,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Bareland
88,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Water
89,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,Forest
90,NULL,NULL,Forest,Water,Non_Wetland,NULL,Grassland
91,NULL,NULL,Forest,Water,Non_Wetland,NULL,Wetland
92,NULL,NULL,Forest,Water,Non_Wetland,NULL,Bareland
93,NULL,NULL,Forest,Water,Non_Wetland,NULL,Water
94,NULL,NULL,Forest,Water,Non_Wetland,NULL,Forest
95,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Grassland
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Wetland
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Bareland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,Forest
99,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
100,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
101,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Grassland
102,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Bareland
103,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,Forest
104,NULL,Cropland,Wetland,NULL,Wetland,NULL,Grassland
105,NULL,Cropland,Wetland,NULL,Wetland,NULL,Wetland
106,NULL,Cropland,Wetland,NULL,Wetland,NULL,Water
107,NULL,Cropland,Wetland,NULL,Wetland,NULL,Forest
108,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,Grassland
109,NULL,Cropland,Wetland,Water,Wetland,NULL,Grassland
110,NULL,Cropland,Wetland,Water,Wetland,NULL,Wetland
111,NULL,Cropland,Water,NULL,Water,NULL,Grassland
112,NULL,Cropland,Water,NULL,Water,NULL,Wetland
113,NULL,Cropland,Water,NULL,Water,NULL,Water
114,NULL,Cropland,Water,Water,Water,NULL,Wetland
115,NULL,Cropland,Water,Water,Water,NULL,Water
116,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Grassland
117,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Wetland
118,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,Forest
119,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,Bareland
120,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Grassland
121,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Wetland
122,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Bareland
123,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Water
124,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,Forest
125,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
126,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
127,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,Bareland
128,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Grassland
129,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,Forest
130,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Bareland
131,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,Water
132,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Grassland
133,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,Bareland
134,NULL,Wetland,Wetland,NULL,Wetland,NULL,Wetland
135,NULL,Wetland,Wetland,NULL,Wetland,NULL,Water
136,NULL,Wetland,Wetland,NULL,Wetland,NULL,Forest
137,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,Wetland
138,NULL,Wetland,Wetland,Water,Wetland,NULL,Wetland
139,NULL,Wetland,Wetland,Water,Wetland,NULL,Water
140,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,Forest
141,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,Bareland
142,NULL,Wetland,Water,NULL,Water,NULL,Grassland
143,NULL,Wetland,Water,NULL,Water,NULL,Water
144,NULL,Wetland,Water,Non_Water,Water,NULL,Grassland
145,NULL,Wetland,Water,Water,Water,NULL,Wetland
146,NULL,Wetland,Water,Water,Water,NULL,Water
147,NULL,Wetland,Water,Water,Water,NULL,Forest
148,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Grassland
149,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Wetland
150,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Bareland
151,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,Forest
152,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,Grassland
153,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Grassland
154,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Wetland
155,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Bareland
156,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Water
157,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,Forest
158,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Grassland
159,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Bareland
160,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,Forest
161,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,Water
162,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Grassland
163,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Bareland
164,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,Forest
165,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Grassland
166,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,Forest
167,NULL,Bareland,Wetland,NULL,Wetland,NULL,Grassland
168,NULL,Bareland,Wetland,NULL,Wetland,NULL,Wetland
169,NULL,Bareland,Wetland,NULL,Wetland,NULL,Water
170,NULL,Bareland,Wetland,NULL,Wetland,NULL,Forest
171,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Grassland
172,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,Wetland
173,NULL,Bareland,Water,NULL,Water,NULL,Water
174,NULL,Bareland,Water,NULL,Water,NULL,Forest
175,NULL,Bareland,Water,Water,Water,NULL,Grassland
176,NULL,Bareland,Water,Water,Water,NULL,Wetland
177,NULL,Bareland,Water,Water,Water,NULL,Water
178,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Grassland
179,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Wetland
180,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Bareland
181,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,Forest
182,NULL,Bareland,Forest,Water,Non_Wetland,NULL,Water
183,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Grassland
184,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,Bareland
185,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,Grassland
186,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL
