Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22LFN_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LFN_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LFN_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LFN_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LFN_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LFN_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LFN_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22LFN_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
118,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
119,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
120,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Bareland
123,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Built-up
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Bareland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Water
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Water
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
174,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
175,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
176,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
177,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
204,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
205,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
206,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
207,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
208,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Forest
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,NULL
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Wetland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Water
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Wetland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Grassland
284,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
286,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
287,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
289,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
290,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
292,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
293,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
294,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
295,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Forest
296,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
297,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Forest
298,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
299,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
300,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
301,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Forest
302,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Grassland
303,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Shrubland,Wetland
304,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
305,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
306,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Water
307,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
308,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
309,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
311,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
312,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
313,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
314,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
315,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Forest
317,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
318,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
319,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
320,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Forest
321,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
322,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Forest
323,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Grassland
324,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
325,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
326,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
327,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
328,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
329,NULL,NULL,NULL,Water,Non_Wetland,Forest,Shrubland,Grassland
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
