Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KWT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KWT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KWT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KWT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KWT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KWT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KWT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KWT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
78,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Wetland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
123,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
124,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
125,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
134,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
137,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
138,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Wetland
139,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
144,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
145,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
146,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
147,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
148,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
149,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
150,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
151,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
152,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
153,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
154,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
155,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
156,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
157,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Wetland
158,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
159,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
161,NULL,NULL,NULL,Water,Non_Wetland,NULL,Forest,NULL
162,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
163,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Wetland
164,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
165,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Wetland
166,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
167,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
168,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
173,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
175,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
179,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
183,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
184,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
192,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
193,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
194,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
195,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Wetland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Wetland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Wetland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Water
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Water
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Forest
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Wetland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Water
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Wetland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
