Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20NLG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NLG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NLG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NLG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NLG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NLG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NLG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20NLG_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
