Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_17MRU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_17MRU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_17MRU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Forest
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Water
17,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
19,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
22,NULL,NULL,Grassland,NULL,Non_Wetland,Water
23,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water
27,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
28,NULL,NULL,Grassland,Water,Non_Wetland,Bareland
29,NULL,NULL,Grassland,Water,Non_Wetland,Water
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL
31,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
32,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
33,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
34,NULL,NULL,Cropland,NULL,Non_Wetland,Water
35,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
40,NULL,NULL,Cropland,Water,Non_Wetland,Water
41,NULL,NULL,Cropland,Water,Non_Wetland,Forest
42,NULL,NULL,Wetland,NULL,Wetland,Grassland
43,NULL,NULL,Wetland,NULL,Wetland,Water
44,NULL,NULL,Wetland,Non_Water,Wetland,Grassland
45,NULL,NULL,Wetland,Non_Water,Wetland,Water
46,NULL,NULL,Wetland,Non_Water,Wetland,Forest
47,NULL,NULL,Wetland,Water,Wetland,Grassland
48,NULL,NULL,Wetland,Water,Wetland,Cropland
49,NULL,NULL,Wetland,Water,Wetland,Bareland
50,NULL,NULL,Wetland,Water,Wetland,Water
51,NULL,NULL,Wetland,Water,Wetland,Forest
52,NULL,NULL,Bareland,NULL,Non_Wetland,NULL
53,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
55,NULL,NULL,Bareland,NULL,Non_Wetland,Water
56,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
62,NULL,NULL,Bareland,Water,Non_Wetland,Water
63,NULL,NULL,Bareland,Water,Non_Wetland,Forest
64,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
67,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
68,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
69,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
70,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,Forest
72,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
73,NULL,NULL,Built-up,Water,Non_Wetland,Water
74,NULL,NULL,Built-up,Water,Non_Wetland,Forest
75,NULL,NULL,Water,NULL,Water,NULL
76,NULL,NULL,Water,NULL,Water,Grassland
77,NULL,NULL,Water,NULL,Water,Bareland
78,NULL,NULL,Water,NULL,Water,Water
79,NULL,NULL,Water,NULL,Water,Forest
80,NULL,NULL,Water,Non_Water,Water,Grassland
81,NULL,NULL,Water,Non_Water,Water,Bareland
82,NULL,NULL,Water,Non_Water,Water,Water
83,NULL,NULL,Water,Non_Water,Water,Forest
84,NULL,NULL,Water,Water,Water,Grassland
85,NULL,NULL,Water,Water,Water,Bareland
86,NULL,NULL,Water,Water,Water,Water
87,NULL,NULL,Water,Water,Water,Forest
88,NULL,NULL,Forest,NULL,Non_Wetland,NULL
89,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
90,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
91,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
92,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
93,NULL,NULL,Forest,NULL,Non_Wetland,Water
94,NULL,NULL,Forest,NULL,Non_Wetland,Forest
95,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
96,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
97,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
98,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
99,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
100,NULL,NULL,Forest,Water,Non_Wetland,Grassland
101,NULL,NULL,Forest,Water,Non_Wetland,Cropland
102,NULL,NULL,Forest,Water,Non_Wetland,Bareland
103,NULL,NULL,Forest,Water,Non_Wetland,Water
104,NULL,NULL,Forest,Water,Non_Wetland,Forest
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
107,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
108,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
109,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
110,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
111,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
112,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
113,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
114,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
115,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
119,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
120,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
122,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
