Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KYB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KYB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KYB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KYB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KYB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KYB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KYB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KYB_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
144,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
145,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
147,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
148,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
152,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
153,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
154,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
156,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
158,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
166,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
167,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
168,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
170,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
171,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Wetland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Wetland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,NULL
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Wetland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Water
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Bareland,Wetland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Wetland,Forest
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
213,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
214,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
215,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Forest
216,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Wetland
217,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
218,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
220,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Water
221,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Forest
222,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
223,NULL,NULL,NULL,Water,Non_Wetland,Water,Bareland,Wetland
224,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
225,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
226,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
227,NULL,NULL,NULL,Water,Non_Wetland,Forest,NULL,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Forest
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Water
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
327,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
