Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NBM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NBM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NBM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NBM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NBM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NBM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NBM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Wetland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
13,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
15,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
21,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
26,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
27,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
28,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
29,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
30,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
