Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22KHE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KHE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KHE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KHE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KHE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KHE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KHE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22KHE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Built-up
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Water
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Built-up
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Built-up
106,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
108,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
109,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
110,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
111,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Built-up
112,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
114,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Bareland
116,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,Forest
118,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Water
135,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
136,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
137,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
142,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
143,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
171,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
172,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
180,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Bareland
192,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Grassland
196,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Cropland
197,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Bareland
198,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
199,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
200,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
202,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
203,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
204,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
205,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
209,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
210,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
211,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
213,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
215,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Water
216,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
217,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,NULL
218,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Forest
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
222,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
224,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
225,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
227,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
228,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Forest
230,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,NULL
231,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Bareland,Grassland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Cropland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Built-up,Grassland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Forest
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Cropland
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,NULL
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Grassland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Cropland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Grassland,Forest
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,NULL
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Grassland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Forest,Grassland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,NULL
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,NULL,Forest
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,NULL
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Water
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Cropland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,NULL
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Forest,Grassland
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,NULL
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Wetland
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Forest
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,NULL
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,NULL
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,NULL
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Bareland
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Cropland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Cropland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Forest
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Forest
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,NULL
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,Forest
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
312,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
313,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
314,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,NULL
315,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
317,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Bareland,Water
318,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Bareland
319,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
320,NULL,NULL,NULL,Water,Non_Wetland,Forest,Grassland,Wetland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
325,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
326,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
327,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
328,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
