Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MNP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MNP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MNP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MNP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MNP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MNP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MNP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MNP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Bareland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Built-up
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
100,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Cropland
102,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
155,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
156,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
157,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
158,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,NULL
159,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
160,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
161,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
164,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Built-up
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Forest,Forest
169,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Bareland
172,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
173,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
174,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
175,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
176,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
180,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
181,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
182,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
183,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
184,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
185,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Forest
186,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Wetland
190,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
191,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
192,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Forest,Forest
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Forest,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Forest
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,NULL
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Forest,Forest
210,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
211,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
212,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
213,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
214,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
233,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
234,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
235,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,NULL
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Grassland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Built-up
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Built-up,Forest
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Wetland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Built-up
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Built-up
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
