Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LFC_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LFC_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LFC_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LFC_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFC_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LFC_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LFC_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LFC_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
31,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
32,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
39,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
40,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
50,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
51,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
52,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
57,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
58,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
63,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
64,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
65,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
66,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
67,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
68,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
69,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
70,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
71,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
72,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
74,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
75,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
76,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
77,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
78,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
79,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
80,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
81,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
82,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
83,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
84,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
86,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
87,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
90,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
91,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
92,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Cropland
94,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
95,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Water
96,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
97,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
98,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
99,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
100,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
101,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
102,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
103,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Bareland
104,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
105,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
106,NULL,NULL,Water,Water,Water,NULL,NULL,Water
107,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
108,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
109,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
110,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
111,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
112,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
113,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
114,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
115,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
116,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
117,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
118,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
120,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
123,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Bareland
124,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
125,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
126,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
127,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
128,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
129,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
130,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
131,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
132,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
133,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
134,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
135,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
136,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
137,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
138,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
139,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
140,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
141,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
142,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
143,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
145,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
146,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
148,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
150,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
152,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
155,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
156,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
157,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
158,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
159,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
160,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
161,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
162,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
163,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
164,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
165,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
167,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
168,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
169,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
170,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
172,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
173,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
174,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Cropland
175,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
176,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Water
177,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Forest
178,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
179,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Water
180,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
181,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Water
182,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
183,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
184,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
185,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
186,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
187,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
188,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
189,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
191,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
192,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Water
193,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
194,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
195,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
196,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
197,NULL,Bareland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
198,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Bareland
199,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Water
200,NULL,Bareland,NULL,Water,Non_Wetland,NULL,NULL,Forest
201,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
203,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
204,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
205,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
206,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
207,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
208,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
209,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
210,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
211,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
212,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
213,NULL,Bareland,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
214,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
215,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
216,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
217,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
218,NULL,Bareland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
219,NULL,Bareland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
220,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
221,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
222,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
223,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
224,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
225,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
226,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Forest
227,NULL,Bareland,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
228,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
229,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
230,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
232,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
233,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
234,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
235,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
236,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
237,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
238,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
240,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
241,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
242,NULL,Bareland,Water,NULL,Water,NULL,NULL,Grassland
243,NULL,Bareland,Water,NULL,Water,NULL,NULL,Bareland
244,NULL,Bareland,Water,NULL,Water,NULL,NULL,Water
245,NULL,Bareland,Water,Non_Water,Water,NULL,NULL,Bareland
246,NULL,Bareland,Water,Water,Water,NULL,NULL,Grassland
247,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
248,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
249,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
251,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
252,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Water
253,NULL,Bareland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
254,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
255,NULL,Bareland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
256,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
257,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Bareland
258,NULL,Bareland,Forest,Water,Non_Wetland,NULL,NULL,Water
259,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
260,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
261,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
262,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
263,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
264,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Water
265,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
266,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
267,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
268,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
269,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Built-up
270,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
271,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
272,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Grassland
273,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Bareland
274,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Water
275,NULL,Built-up,NULL,Water,Non_Wetland,NULL,NULL,Forest
276,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
277,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
278,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
279,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
280,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
281,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
282,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,NULL
284,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
285,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
286,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Bareland
287,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
288,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Water
289,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
290,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
291,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Bareland
292,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Water
293,NULL,Built-up,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
294,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
295,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
296,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
297,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
298,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
299,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Water
300,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
301,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
302,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
303,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
304,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
305,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
306,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
307,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Built-up
308,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Water
309,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Forest
310,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
311,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
312,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
313,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
314,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
316,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
317,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
318,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Bareland
319,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Built-up
320,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
321,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
322,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
323,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Water
324,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
325,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
326,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
327,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
328,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
329,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
330,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
331,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
332,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
333,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Built-up
334,NULL,Built-up,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
