Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21KXA_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21KXA_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21KXA_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21KXA_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KXA_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KXA_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21KXA_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Shrubland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Wetland
6,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
14,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Wetland
19,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
