Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NWG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NWG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NWG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NWG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NWG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NWG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NWG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NWG_M_R
0,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
3,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
13,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
14,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
15,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
16,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
17,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
18,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
20,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
21,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
22,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
23,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
24,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
25,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
26,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
27,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
28,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
29,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
30,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
34,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
35,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
36,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
37,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
38,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
39,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
40,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
41,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
42,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
43,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
44,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
45,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
46,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
47,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
48,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
49,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
51,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
52,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
53,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
54,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
55,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
56,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
57,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
58,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
59,NULL,NULL,Water,Water,Water,NULL,NULL,Water
60,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
61,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
62,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
63,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
64,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
65,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
66,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
67,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
68,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
69,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
70,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Cropland
71,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
72,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
74,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
75,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
76,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
77,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
78,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
79,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
80,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
81,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
82,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
83,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
84,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
85,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Cropland
86,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
87,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
88,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
89,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Cropland
90,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
91,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Water
92,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
93,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
94,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
95,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
96,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
97,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
98,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
99,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
100,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
101,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
104,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
105,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Water
106,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
107,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
108,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Cropland
109,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Wetland
110,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Forest
111,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
112,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Cropland
