Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MDE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MDE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
17,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
18,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
19,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
20,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
22,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
23,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,NULL
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,NULL
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,NULL
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,NULL
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,NULL
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,NULL
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
55,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,NULL
56,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,NULL
57,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,NULL
58,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,NULL
59,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,NULL
60,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
61,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
62,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,NULL
63,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,NULL
64,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,NULL
65,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
66,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
67,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,NULL
68,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
69,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
70,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,NULL
71,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,NULL
72,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
73,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,NULL
74,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
75,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,NULL
76,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
77,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,NULL
78,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,NULL
79,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
80,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,NULL
81,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,NULL
82,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,NULL
83,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,NULL
