Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFR_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFR_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFR_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFR_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFR_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19KFR_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19KFR_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19KFR_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
3,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
6,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
8,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
9,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
10,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
11,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
12,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
14,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
15,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
16,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
17,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
18,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
19,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
20,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
21,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
22,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
23,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
24,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
25,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
26,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
27,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
28,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
29,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,Bareland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
31,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
32,NULL,Bareland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
33,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
34,NULL,Bareland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
35,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
36,NULL,Bareland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
37,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Grassland
38,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Bareland
39,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,Water
40,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Bareland
41,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
42,NULL,Bareland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
43,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
44,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
45,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
46,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
47,NULL,Bareland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
48,NULL,Bareland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
49,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
50,NULL,Bareland,Bareland,Water,Non_Wetland,NULL,NULL,Water
51,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
52,NULL,Bareland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
53,NULL,Bareland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
54,NULL,Bareland,Water,Water,Water,NULL,NULL,Bareland
55,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
56,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
57,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
59,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
60,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
61,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
