Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23MMS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23MMS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23MMS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23MMS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23MMS_M_R
25,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
26,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
27,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Built-up
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
60,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
65,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
72,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
75,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
76,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
77,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
79,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
80,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
81,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
83,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Wetland,Built-up
85,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Built-up
87,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
90,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
91,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
93,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
94,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
95,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
96,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
99,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
100,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Wetland
101,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
102,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
107,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
108,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Forest
109,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
110,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
111,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
112,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
113,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Forest
114,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
115,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
116,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
117,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Grassland,Forest
118,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
119,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
120,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
121,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Forest
122,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
123,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
124,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Forest
125,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
126,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
127,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
128,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Forest
129,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,Grassland
130,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Grassland
131,NULL,NULL,NULL,Water,Non_Wetland,NULL,Wetland,Wetland
132,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Forest,Grassland
133,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
134,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
135,NULL,NULL,NULL,Water,Non_Wetland,Wetland,NULL,Grassland
136,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Grassland
137,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
138,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
139,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Grassland
140,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Forest,Forest
141,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
142,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Wetland
143,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Forest
144,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Grassland
145,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Cropland
146,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
147,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Grassland
148,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Bareland,Wetland
149,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Grassland,Grassland
150,NULL,NULL,NULL,Water,Non_Wetland,Built-up,Water,Built-up
151,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
152,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
153,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
160,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
162,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
163,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
164,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
165,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Built-up
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Built-up
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,NULL
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Wetland
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Built-up,Grassland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Grassland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,Wetland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Built-up
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Wetland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Built-up
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Wetland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Built-up
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Forest
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Built-up
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Forest
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Built-up
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Wetland,Built-up
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Forest
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,NULL
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Wetland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Bareland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Forest
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Cropland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Built-up,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Wetland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Wetland,Forest
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
279,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
280,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
281,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
282,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
283,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
284,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
285,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
286,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
287,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Forest,Grassland
288,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
289,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
290,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
291,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Cropland
292,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
293,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Bareland,Grassland
294,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Grassland
295,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Water,Wetland
296,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Grassland
297,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Cropland
298,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Forest,Wetland
299,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Wetland
300,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
301,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
302,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Cropland
303,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Forest
304,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
305,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Bareland,Forest
306,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Built-up,Grassland
307,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Water,Grassland
308,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Forest,Grassland
309,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Grassland,Grassland
310,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Built-up,Built-up,Grassland
311,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Grassland,Grassland
312,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Wetland
313,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest,Grassland,Grassland
314,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
315,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Wetland
316,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Bareland
317,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Grassland
318,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Wetland,Wetland
319,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Water,Grassland
320,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
