Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MBS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MBS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MBS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MBS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MBS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MBS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MBS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MBS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
2,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
3,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
4,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
7,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
8,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
9,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
10,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
11,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
12,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
13,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
14,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
15,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
16,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
17,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
18,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
19,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
20,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
21,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
22,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
23,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
24,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
25,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
26,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
27,NULL,NULL,Water,Water,Water,NULL,NULL,Water
28,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
29,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
30,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
32,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
33,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
34,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
35,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
36,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
38,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
40,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
41,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
42,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
43,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
44,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
45,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
46,NULL,Wetland,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Forest
47,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
48,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
49,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
