Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19MDM_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MDM_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MDM_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MDM_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MDM_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MDM_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MDM_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19MDM_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
13,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
14,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
15,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
16,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
17,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
18,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
19,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
20,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
21,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
22,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
23,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
24,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Grassland,Grassland
25,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland,Bareland,Forest
26,NULL,NULL,Cropland,NULL,Non_Wetland,Water,Grassland,Grassland
27,NULL,NULL,Cropland,NULL,Non_Wetland,Forest,Forest,Forest
28,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
29,NULL,NULL,Cropland,Water,Non_Wetland,Grassland,Bareland,Grassland
30,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,Forest
31,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,Forest
