Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MTT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MTT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MTT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MTT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MTT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MTT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MTT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MTT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Bareland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Built-up,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Water
35,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Built-up
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Cropland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Bareland
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
120,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
121,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
122,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
131,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Bareland,Grassland
132,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Built-up,NULL
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Wetland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Bareland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
168,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Water
169,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
189,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
190,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
191,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Water
192,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
209,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
210,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
211,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Water,Wetland
219,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
220,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
221,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
222,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Bareland
223,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
224,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
225,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
226,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
227,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
228,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
229,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Cropland
230,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
231,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Bareland
232,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
233,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
238,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
239,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
241,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
242,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
243,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
244,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
245,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
248,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Wetland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Bareland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Water
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Wetland
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Bareland
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Grassland
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Bareland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Bareland
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Bareland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Wetland
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Wetland
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Cropland
278,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,NULL
279,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
280,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
281,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Bareland
282,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
283,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
284,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
285,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Wetland
286,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
287,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
288,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Bareland
289,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,NULL
290,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
291,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Cropland
292,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
293,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Bareland
294,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Water
295,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Forest
296,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,NULL
297,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
298,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
299,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
300,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,NULL
301,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Grassland
302,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Cropland
303,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Grassland,Wetland
304,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
305,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
306,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Grassland
307,NULL,NULL,NULL,Water,Non_Wetland,Grassland,NULL,Water
308,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,NULL
309,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
310,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Cropland
311,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Wetland
312,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Bareland
313,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Water
314,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
315,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Water
316,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Grassland
317,NULL,NULL,NULL,Water,Non_Wetland,Bareland,NULL,Bareland
318,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,NULL
319,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Shrubland,Grassland
320,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Bareland
321,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
322,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Grassland
323,NULL,NULL,NULL,Water,Non_Wetland,Water,NULL,Forest
324,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Grassland
325,NULL,NULL,NULL,Water,Non_Wetland,Water,Shrubland,Water
326,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Bareland
327,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Bareland
329,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
330,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
331,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
