Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MTU_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MTU_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MTU_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MTU_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MTU_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MTU_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Bareland
3,NULL,NULL,NULL,NULL,Non_Wetland,Forest
4,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
13,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
14,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
15,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
16,NULL,NULL,Shrubland,Water,Non_Wetland,Cropland
17,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
18,NULL,NULL,Shrubland,Water,Non_Wetland,Water
19,NULL,NULL,Grassland,NULL,Non_Wetland,NULL
20,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
21,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
22,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
23,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
24,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
26,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
27,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
33,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
34,NULL,NULL,Wetland,Water,Wetland,Grassland
35,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
36,NULL,NULL,Bareland,NULL,Non_Wetland,Cropland
37,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
38,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
39,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
40,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
41,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
42,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
43,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
44,NULL,NULL,Water,NULL,Water,Grassland
45,NULL,NULL,Water,Non_Water,Water,Grassland
46,NULL,NULL,Water,Non_Water,Water,Bareland
47,NULL,NULL,Water,Water,Water,Grassland
48,NULL,NULL,Water,Water,Water,Cropland
49,NULL,NULL,Water,Water,Water,Forest
50,NULL,NULL,Forest,NULL,Non_Wetland,NULL
51,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
52,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
53,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
54,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
55,NULL,NULL,Forest,NULL,Non_Wetland,Water
56,NULL,NULL,Forest,NULL,Non_Wetland,Forest
57,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL
58,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
59,NULL,NULL,Forest,Non_Water,Non_Wetland,Cropland
60,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
61,NULL,NULL,Forest,Water,Non_Wetland,Grassland
62,NULL,NULL,Forest,Water,Non_Wetland,Cropland
63,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL
64,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
65,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
66,NULL,Cropland,Shrubland,NULL,Non_Wetland,Wetland
67,NULL,Cropland,Shrubland,NULL,Non_Wetland,Bareland
68,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
69,NULL,Cropland,Shrubland,NULL,Non_Wetland,Water
70,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
71,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Grassland
72,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Bareland
73,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Water
74,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
75,NULL,Cropland,Shrubland,Water,Non_Wetland,Grassland
76,NULL,Cropland,Shrubland,Water,Non_Wetland,Water
77,NULL,Cropland,Shrubland,Water,Non_Wetland,Forest
78,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
79,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
80,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
81,NULL,Cropland,Grassland,NULL,Non_Wetland,Built-up
82,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
83,NULL,Cropland,Grassland,Water,Non_Wetland,Cropland
84,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
85,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
86,NULL,Cropland,Cropland,NULL,Non_Wetland,Bareland
87,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
88,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
89,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
90,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Forest
91,NULL,Cropland,Cropland,Water,Non_Wetland,Grassland
92,NULL,Cropland,Wetland,Non_Water,Wetland,Forest
93,NULL,Cropland,Wetland,Water,Wetland,Forest
94,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
95,NULL,Cropland,Bareland,NULL,Non_Wetland,Bareland
96,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Grassland
97,NULL,Cropland,Bareland,Water,Non_Wetland,Bareland
98,NULL,Cropland,Bareland,Water,Non_Wetland,Water
99,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
100,NULL,Cropland,Built-up,NULL,Non_Wetland,Cropland
101,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
102,NULL,Cropland,Built-up,NULL,Non_Wetland,Forest
103,NULL,Cropland,Water,Non_Water,Water,Grassland
104,NULL,Cropland,Water,Non_Water,Water,Forest
105,NULL,Cropland,Water,Water,Water,Grassland
106,NULL,Cropland,Water,Water,Water,Forest
107,NULL,Cropland,Forest,NULL,Non_Wetland,NULL
108,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Forest,NULL,Non_Wetland,Built-up
112,NULL,Cropland,Forest,NULL,Non_Wetland,Water
113,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
114,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL
115,NULL,Cropland,Forest,Non_Water,Non_Wetland,Grassland
116,NULL,Cropland,Forest,Non_Water,Non_Wetland,Cropland
117,NULL,Cropland,Forest,Non_Water,Non_Wetland,Bareland
118,NULL,Cropland,Forest,Non_Water,Non_Wetland,Water
