Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZF_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZF_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZF_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZF_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZF_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZF_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZF_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZF_M_R
28,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
41,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
43,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
44,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
45,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
68,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
69,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
70,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Bareland
71,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
75,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
76,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
77,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Bareland
78,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
79,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
80,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Cropland
81,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
87,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
104,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
108,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
109,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
110,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
111,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
112,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Bareland
119,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
120,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
121,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
122,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
123,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
124,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
125,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
126,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
129,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,Forest
131,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
132,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
133,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
134,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
135,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
136,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
137,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
138,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
139,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Grassland,Water
140,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
141,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Water
142,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
143,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
146,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
147,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
148,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
149,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
151,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
152,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
153,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
154,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
155,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
156,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
157,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
158,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
159,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
160,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
161,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
162,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
163,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
164,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
165,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
166,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
167,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
168,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
169,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
170,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
171,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
172,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
173,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
174,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
175,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
176,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
177,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
178,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
179,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
180,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
181,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
182,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
183,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
184,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
185,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
186,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
187,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Wetland
188,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
189,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
190,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
191,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
192,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
193,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
194,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
195,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
196,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
197,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
198,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
199,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
200,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
201,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
202,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
203,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
204,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
205,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
206,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
207,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
208,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
212,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Bareland
213,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
214,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Cropland
216,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
218,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
221,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
223,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Bareland
224,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
225,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
226,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
228,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Bareland
229,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Water
230,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
231,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,NULL
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Forest
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,NULL
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Cropland
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Bareland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Grassland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Cropland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Wetland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Wetland,Bareland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Grassland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Built-up,Cropland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Grassland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Forest,Forest
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Cropland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,NULL
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Wetland
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Bareland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Cropland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Wetland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Bareland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Wetland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Bareland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,NULL
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Cropland
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Cropland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Water
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Forest
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Bareland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Bareland
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Cropland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,NULL,Forest
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Cropland
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Cropland
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Forest,Forest
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Grassland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,NULL,Bareland
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Wetland
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Shrubland,Forest
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Wetland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Bareland
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,Forest
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,NULL,Forest
