Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LEL_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LEL_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LEL_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LEL_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LEL_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LEL_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LEL_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LEL_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
25,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
26,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
27,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
28,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
36,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
37,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
38,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
39,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Water
40,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
41,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
42,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
43,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
44,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Wetland,Grassland
45,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Grassland
46,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Bareland,Forest
47,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
48,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Forest,Grassland
49,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
50,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Water
51,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
52,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Grassland
53,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
63,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
64,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Grassland,Grassland
65,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Wetland,Forest
66,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,Forest,Forest
67,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
69,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
70,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
71,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
72,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
73,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
74,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
75,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
76,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
77,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
78,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
79,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
80,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
81,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
82,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
83,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
85,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
86,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
87,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Water,Water
88,NULL,NULL,Grassland,Water,Non_Wetland,Grassland,Grassland,Grassland
89,NULL,NULL,Grassland,Water,Non_Wetland,Wetland,Grassland,Grassland
90,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Grassland
91,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Bareland,Water
92,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Water,Water
93,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Grassland
94,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Grassland
95,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Cropland
96,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Bareland
97,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Built-up
98,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Water
99,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Grassland,Forest
100,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Grassland
101,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Wetland,Forest
102,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Grassland
103,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Built-up
104,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Bareland,Forest
105,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Built-up,Grassland
106,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Grassland
107,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Water,Forest
108,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland,Forest,Forest
110,NULL,NULL,Cropland,NULL,Non_Wetland,Wetland,Grassland,Grassland
