Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MUS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Forest
2,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL
3,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland
4,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland
5,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland
6,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up
7,NULL,NULL,Shrubland,NULL,Non_Wetland,Water
8,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest
9,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland
10,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland
11,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water
12,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Forest
13,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland
14,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland
15,NULL,NULL,Shrubland,Water,Non_Wetland,Water
16,NULL,NULL,Shrubland,Water,Non_Wetland,Forest
17,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland
18,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland
19,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland
20,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up
21,NULL,NULL,Grassland,NULL,Non_Wetland,Forest
22,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland
23,NULL,NULL,Grassland,Non_Water,Non_Wetland,Cropland
24,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland
25,NULL,NULL,Grassland,Non_Water,Non_Wetland,Forest
26,NULL,NULL,Grassland,Water,Non_Wetland,Grassland
27,NULL,NULL,Grassland,Water,Non_Wetland,Forest
28,NULL,NULL,Cropland,NULL,Non_Wetland,Grassland
29,NULL,NULL,Cropland,NULL,Non_Wetland,Cropland
30,NULL,NULL,Cropland,NULL,Non_Wetland,Bareland
31,NULL,NULL,Cropland,NULL,Non_Wetland,Built-up
32,NULL,NULL,Cropland,NULL,Non_Wetland,Water
33,NULL,NULL,Cropland,NULL,Non_Wetland,Forest
34,NULL,NULL,Cropland,Non_Water,Non_Wetland,Grassland
35,NULL,NULL,Cropland,Non_Water,Non_Wetland,Cropland
36,NULL,NULL,Cropland,Non_Water,Non_Wetland,Bareland
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,Built-up
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,Water
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,Forest
40,NULL,NULL,Cropland,Water,Non_Wetland,Grassland
41,NULL,NULL,Cropland,Water,Non_Wetland,Bareland
42,NULL,NULL,Cropland,Water,Non_Wetland,Water
43,NULL,NULL,Cropland,Water,Non_Wetland,Forest
44,NULL,NULL,Wetland,NULL,Wetland,Forest
45,NULL,NULL,Wetland,Non_Water,Wetland,Bareland
46,NULL,NULL,Wetland,Non_Water,Wetland,Water
47,NULL,NULL,Wetland,Non_Water,Wetland,Forest
48,NULL,NULL,Wetland,Water,Wetland,Grassland
49,NULL,NULL,Wetland,Water,Wetland,Bareland
50,NULL,NULL,Wetland,Water,Wetland,Water
51,NULL,NULL,Wetland,Water,Wetland,Forest
52,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland
53,NULL,NULL,Bareland,NULL,Non_Wetland,Bareland
54,NULL,NULL,Bareland,NULL,Non_Wetland,Water
55,NULL,NULL,Bareland,NULL,Non_Wetland,Forest
56,NULL,NULL,Bareland,Non_Water,Non_Wetland,Grassland
57,NULL,NULL,Bareland,Non_Water,Non_Wetland,Bareland
58,NULL,NULL,Bareland,Non_Water,Non_Wetland,Water
59,NULL,NULL,Bareland,Non_Water,Non_Wetland,Forest
60,NULL,NULL,Bareland,Water,Non_Wetland,Grassland
61,NULL,NULL,Bareland,Water,Non_Wetland,Bareland
62,NULL,NULL,Bareland,Water,Non_Wetland,Water
63,NULL,NULL,Bareland,Water,Non_Wetland,Forest
64,NULL,NULL,Built-up,NULL,Non_Wetland,Grassland
65,NULL,NULL,Built-up,NULL,Non_Wetland,Bareland
66,NULL,NULL,Built-up,NULL,Non_Wetland,Built-up
67,NULL,NULL,Built-up,NULL,Non_Wetland,Water
68,NULL,NULL,Built-up,NULL,Non_Wetland,Forest
69,NULL,NULL,Built-up,Non_Water,Non_Wetland,Grassland
70,NULL,NULL,Built-up,Non_Water,Non_Wetland,Bareland
71,NULL,NULL,Built-up,Non_Water,Non_Wetland,Water
72,NULL,NULL,Built-up,Water,Non_Wetland,Grassland
73,NULL,NULL,Built-up,Water,Non_Wetland,Bareland
74,NULL,NULL,Built-up,Water,Non_Wetland,Built-up
75,NULL,NULL,Water,NULL,Water,Grassland
76,NULL,NULL,Water,NULL,Water,Water
77,NULL,NULL,Water,NULL,Water,Forest
78,NULL,NULL,Water,Non_Water,Water,Grassland
79,NULL,NULL,Water,Non_Water,Water,Bareland
80,NULL,NULL,Water,Non_Water,Water,Water
81,NULL,NULL,Water,Non_Water,Water,Forest
82,NULL,NULL,Water,Water,Water,Grassland
83,NULL,NULL,Water,Water,Water,Bareland
84,NULL,NULL,Water,Water,Water,Water
85,NULL,NULL,Water,Water,Water,Forest
86,NULL,NULL,Forest,NULL,Non_Wetland,NULL
87,NULL,NULL,Forest,NULL,Non_Wetland,Grassland
88,NULL,NULL,Forest,NULL,Non_Wetland,Cropland
89,NULL,NULL,Forest,NULL,Non_Wetland,Bareland
90,NULL,NULL,Forest,NULL,Non_Wetland,Built-up
91,NULL,NULL,Forest,NULL,Non_Wetland,Water
92,NULL,NULL,Forest,NULL,Non_Wetland,Forest
93,NULL,NULL,Forest,Non_Water,Non_Wetland,Grassland
94,NULL,NULL,Forest,Non_Water,Non_Wetland,Bareland
95,NULL,NULL,Forest,Non_Water,Non_Wetland,Built-up
96,NULL,NULL,Forest,Non_Water,Non_Wetland,Water
97,NULL,NULL,Forest,Non_Water,Non_Wetland,Forest
98,NULL,NULL,Forest,Water,Non_Wetland,Grassland
99,NULL,NULL,Forest,Water,Non_Wetland,Cropland
100,NULL,NULL,Forest,Water,Non_Wetland,Bareland
101,NULL,NULL,Forest,Water,Non_Wetland,Water
102,NULL,NULL,Forest,Water,Non_Wetland,Forest
103,NULL,Cropland,Shrubland,NULL,Non_Wetland,Grassland
104,NULL,Cropland,Shrubland,NULL,Non_Wetland,Cropland
105,NULL,Cropland,Shrubland,NULL,Non_Wetland,Built-up
106,NULL,Cropland,Shrubland,NULL,Non_Wetland,Forest
107,NULL,Cropland,Shrubland,Non_Water,Non_Wetland,Forest
108,NULL,Cropland,Grassland,NULL,Non_Wetland,Grassland
109,NULL,Cropland,Grassland,NULL,Non_Wetland,Cropland
110,NULL,Cropland,Grassland,NULL,Non_Wetland,Bareland
111,NULL,Cropland,Grassland,NULL,Non_Wetland,Forest
112,NULL,Cropland,Grassland,Non_Water,Non_Wetland,Forest
113,NULL,Cropland,Cropland,NULL,Non_Wetland,Grassland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,Cropland
115,NULL,Cropland,Cropland,NULL,Non_Wetland,Built-up
116,NULL,Cropland,Cropland,NULL,Non_Wetland,Forest
117,NULL,Cropland,Cropland,Non_Water,Non_Wetland,Grassland
118,NULL,Cropland,Bareland,NULL,Non_Wetland,Grassland
119,NULL,Cropland,Bareland,Non_Water,Non_Wetland,Bareland
120,NULL,Cropland,Built-up,NULL,Non_Wetland,Grassland
121,NULL,Cropland,Built-up,NULL,Non_Wetland,Built-up
122,NULL,Cropland,Forest,NULL,Non_Wetland,Grassland
123,NULL,Cropland,Forest,NULL,Non_Wetland,Cropland
124,NULL,Cropland,Forest,NULL,Non_Wetland,Bareland
125,NULL,Cropland,Forest,NULL,Non_Wetland,Forest
126,NULL,Cropland,Forest,Non_Water,Non_Wetland,Forest
127,NULL,Bareland,Shrubland,NULL,Non_Wetland,Grassland
128,NULL,Bareland,Shrubland,NULL,Non_Wetland,Bareland
129,NULL,Bareland,Shrubland,NULL,Non_Wetland,Water
130,NULL,Bareland,Shrubland,NULL,Non_Wetland,Forest
131,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Grassland
132,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Bareland
133,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Water
134,NULL,Bareland,Shrubland,Non_Water,Non_Wetland,Forest
135,NULL,Bareland,Shrubland,Water,Non_Wetland,Grassland
136,NULL,Bareland,Shrubland,Water,Non_Wetland,Bareland
137,NULL,Bareland,Shrubland,Water,Non_Wetland,Water
138,NULL,Bareland,Grassland,NULL,Non_Wetland,Grassland
139,NULL,Bareland,Grassland,NULL,Non_Wetland,Forest
140,NULL,Bareland,Grassland,Non_Water,Non_Wetland,Bareland
141,NULL,Bareland,Grassland,Water,Non_Wetland,Bareland
142,NULL,Bareland,Cropland,NULL,Non_Wetland,Grassland
143,NULL,Bareland,Cropland,NULL,Non_Wetland,Bareland
144,NULL,Bareland,Cropland,NULL,Non_Wetland,Water
145,NULL,Bareland,Cropland,NULL,Non_Wetland,Forest
146,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Grassland
147,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Bareland
148,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Water
149,NULL,Bareland,Cropland,Non_Water,Non_Wetland,Forest
150,NULL,Bareland,Cropland,Water,Non_Wetland,Grassland
151,NULL,Bareland,Cropland,Water,Non_Wetland,Bareland
152,NULL,Bareland,Cropland,Water,Non_Wetland,Water
153,NULL,Bareland,Cropland,Water,Non_Wetland,Forest
154,NULL,Bareland,Wetland,Non_Water,Wetland,Bareland
155,NULL,Bareland,Wetland,Non_Water,Wetland,Water
156,NULL,Bareland,Wetland,Non_Water,Wetland,Forest
157,NULL,Bareland,Wetland,Water,Wetland,Bareland
158,NULL,Bareland,Wetland,Water,Wetland,Water
159,NULL,Bareland,Wetland,Water,Wetland,Forest
160,NULL,Bareland,Bareland,NULL,Non_Wetland,Grassland
161,NULL,Bareland,Bareland,NULL,Non_Wetland,Bareland
162,NULL,Bareland,Bareland,NULL,Non_Wetland,Built-up
163,NULL,Bareland,Bareland,NULL,Non_Wetland,Water
164,NULL,Bareland,Bareland,NULL,Non_Wetland,Forest
165,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Grassland
166,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Bareland
167,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Water
168,NULL,Bareland,Bareland,Non_Water,Non_Wetland,Forest
169,NULL,Bareland,Bareland,Water,Non_Wetland,Grassland
170,NULL,Bareland,Bareland,Water,Non_Wetland,Bareland
171,NULL,Bareland,Bareland,Water,Non_Wetland,Water
172,NULL,Bareland,Bareland,Water,Non_Wetland,Forest
173,NULL,Bareland,Built-up,NULL,Non_Wetland,Bareland
174,NULL,Bareland,Built-up,NULL,Non_Wetland,Built-up
175,NULL,Bareland,Built-up,NULL,Non_Wetland,Forest
176,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Grassland
177,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Bareland
178,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Water
179,NULL,Bareland,Built-up,Non_Water,Non_Wetland,Forest
180,NULL,Bareland,Built-up,Water,Non_Wetland,Bareland
181,NULL,Bareland,Built-up,Water,Non_Wetland,Water
182,NULL,Bareland,Water,NULL,Water,Grassland
183,NULL,Bareland,Water,NULL,Water,Bareland
184,NULL,Bareland,Water,NULL,Water,Water
185,NULL,Bareland,Water,Non_Water,Water,Bareland
186,NULL,Bareland,Water,Non_Water,Water,Water
187,NULL,Bareland,Water,Non_Water,Water,Forest
188,NULL,Bareland,Water,Water,Water,Grassland
189,NULL,Bareland,Water,Water,Water,Bareland
190,NULL,Bareland,Water,Water,Water,Water
191,NULL,Bareland,Forest,NULL,Non_Wetland,Grassland
192,NULL,Bareland,Forest,NULL,Non_Wetland,Bareland
193,NULL,Bareland,Forest,NULL,Non_Wetland,Built-up
194,NULL,Bareland,Forest,NULL,Non_Wetland,Water
195,NULL,Bareland,Forest,NULL,Non_Wetland,Forest
196,NULL,Bareland,Forest,Non_Water,Non_Wetland,Grassland
197,NULL,Bareland,Forest,Non_Water,Non_Wetland,Bareland
198,NULL,Bareland,Forest,Non_Water,Non_Wetland,Water
199,NULL,Bareland,Forest,Non_Water,Non_Wetland,Forest
200,NULL,Bareland,Forest,Water,Non_Wetland,Grassland
201,NULL,Bareland,Forest,Water,Non_Wetland,Bareland
202,NULL,Bareland,Forest,Water,Non_Wetland,Water
203,NULL,Bareland,Forest,Water,Non_Wetland,Forest
204,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL
205,NULL,Built-up,Shrubland,NULL,Non_Wetland,Grassland
206,NULL,Built-up,Shrubland,NULL,Non_Wetland,Cropland
207,NULL,Built-up,Shrubland,NULL,Non_Wetland,Bareland
208,NULL,Built-up,Shrubland,NULL,Non_Wetland,Built-up
209,NULL,Built-up,Shrubland,NULL,Non_Wetland,Water
210,NULL,Built-up,Shrubland,NULL,Non_Wetland,Forest
211,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Grassland
212,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Bareland
213,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Built-up
214,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,Forest
215,NULL,Built-up,Shrubland,Water,Non_Wetland,Forest
216,NULL,Built-up,Grassland,NULL,Non_Wetland,Grassland
217,NULL,Built-up,Grassland,NULL,Non_Wetland,Cropland
218,NULL,Built-up,Grassland,NULL,Non_Wetland,Bareland
219,NULL,Built-up,Grassland,NULL,Non_Wetland,Built-up
220,NULL,Built-up,Grassland,NULL,Non_Wetland,Forest
221,NULL,Built-up,Grassland,Non_Water,Non_Wetland,Forest
222,NULL,Built-up,Grassland,Water,Non_Wetland,Forest
223,NULL,Built-up,Cropland,NULL,Non_Wetland,Grassland
