Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LZD_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LZD_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZD_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZD_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZD_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZD_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LZD_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Water
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Wetland
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
94,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
95,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Forest
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
116,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Water
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Water
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Built-up
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Wetland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Cropland
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Wetland
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
154,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
160,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Wetland,NULL
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Bareland
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
169,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
171,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Grassland
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Wetland,Wetland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Bareland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
175,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Wetland
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Bareland,Grassland
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Cropland
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Wetland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Bareland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Water,Wetland
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Grassland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Grassland
201,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
202,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
203,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Water
204,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
205,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
206,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
207,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Bareland
208,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Grassland
209,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Wetland
210,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
211,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
212,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
213,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
214,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
215,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
216,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Wetland
217,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
218,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Grassland
219,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Wetland
220,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Water
221,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Grassland
222,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Wetland,Wetland
223,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,NULL
224,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Grassland
225,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Wetland
226,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Water,Water
227,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
228,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Grassland
229,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Water,Wetland
230,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Grassland
231,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
232,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Wetland,Wetland
233,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
234,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Wetland
235,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Water
236,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
240,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
241,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
243,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
244,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
246,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Wetland
247,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Bareland
248,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Built-up
249,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
250,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
251,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
254,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
255,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Built-up
256,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
257,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
258,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,NULL
259,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Cropland
261,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
262,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,NULL
263,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
264,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Cropland
265,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Bareland
266,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
267,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Grassland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Water,Wetland
269,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Cropland
272,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Bareland
273,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Water
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Wetland
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Water
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Wetland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
325,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
326,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
