Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LDK_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LDK_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LDK_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LDK_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LDK_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LDK_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LDK_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LDK_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
7,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
19,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
22,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
23,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
24,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Water,Grassland
25,NULL,NULL,NULL,Water,Non_Wetland,Water,Grassland,Water
26,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
30,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Water
31,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
32,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
34,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
35,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
36,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
37,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
38,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Forest
39,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
40,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
41,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
42,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
43,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
44,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
45,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Water,Grassland
46,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
47,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
48,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
49,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
50,NULL,NULL,Grassland,Non_Water,Non_Wetland,Water,Water,Bareland
51,NULL,NULL,Grassland,Water,Non_Wetland,Bareland,Grassland,Water
52,NULL,NULL,Grassland,Water,Non_Wetland,Water,Grassland,Water
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,Grassland,Forest
