Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20LKP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LKP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LKP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LKP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LKP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LKP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LKP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20LKP_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
31,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
33,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
39,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
40,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
41,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
44,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
46,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
52,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
53,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
54,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
56,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
57,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
58,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
59,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Bareland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
63,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
64,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
66,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
67,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
68,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
69,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
70,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
71,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
72,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Forest
73,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
74,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
75,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Forest
76,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
77,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
78,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
79,NULL,NULL,NULL,Water,Non_Wetland,Bareland,Grassland,Grassland
80,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
81,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
82,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Wetland
83,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
84,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
85,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
86,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
87,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
88,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
89,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
90,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
91,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
92,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
93,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
94,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
95,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
96,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
97,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
98,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
99,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
100,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
101,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
102,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
103,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
104,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
105,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
106,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
107,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
108,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
109,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
110,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Grassland
111,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Grassland,Forest
112,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Grassland
113,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Bareland,Forest
114,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,NULL
115,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Grassland
116,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Wetland
117,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,NULL,Forest
118,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
119,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Forest
120,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
121,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
122,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
123,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
124,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
125,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
126,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
127,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Grassland
128,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Built-up
129,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,NULL,Forest
130,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
131,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Forest
132,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
133,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
134,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
135,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
136,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
137,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Wetland
138,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Bareland
139,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
140,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
141,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
142,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
143,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Built-up,Grassland
144,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
145,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
146,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Grassland,Grassland
147,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Grassland
148,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Bareland,Built-up
149,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Grassland
150,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Built-up,Built-up
151,NULL,NULL,Shrubland,NULL,Non_Wetland,Built-up,Water,Built-up
152,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
153,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Forest
154,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Forest
155,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Forest
156,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
157,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
158,NULL,NULL,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Wetland
159,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
160,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
161,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
162,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
163,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
164,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
165,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,NULL,Built-up
166,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
167,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
168,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Wetland
169,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
170,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Grassland,Grassland
171,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
172,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Forest
173,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Grassland
174,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,NULL,Grassland
175,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Grassland
176,NULL,NULL,Shrubland,Water,Non_Wetland,Water,NULL,Bareland
177,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Grassland
178,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
179,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
180,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
181,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
182,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
183,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
184,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
185,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,NULL,Grassland
186,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
187,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
188,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
189,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Grassland,Forest
190,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
191,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
192,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
193,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Bareland,Forest
194,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
195,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Forest,Grassland
196,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Grassland
197,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Wetland
198,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Bareland
199,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Built-up
200,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,NULL,Forest
201,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
202,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,NULL
203,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
204,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Cropland
205,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Wetland
206,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Bareland
207,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Built-up
208,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Forest
209,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
210,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Wetland
211,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Forest
212,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Grassland
213,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Bareland
214,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Built-up
215,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Bareland,Forest
216,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Grassland
217,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Built-up,Forest
218,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Water,Wetland
219,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
220,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Forest
221,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
222,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Grassland,Grassland
223,NULL,NULL,Grassland,NULL,Non_Wetland,Cropland,Bareland,Grassland
224,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,NULL
225,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Grassland
226,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Wetland
227,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,NULL,Forest
228,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
229,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Shrubland,Forest
230,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,NULL
231,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Grassland
232,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Cropland
233,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Wetland
234,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Grassland,Forest
235,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
236,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Wetland
237,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Forest
238,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Grassland
239,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Bareland,Forest
240,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Built-up,Grassland
241,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Water,Forest
242,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Grassland
243,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,Forest
244,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Grassland
245,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Bareland
246,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Built-up
247,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,NULL,Forest
248,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
249,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Shrubland,Bareland
250,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Grassland
251,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Cropland
252,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Bareland
253,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Built-up
254,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,Forest
255,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Grassland
256,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Wetland
257,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Wetland,Forest
258,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,NULL
259,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Grassland
260,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Bareland
261,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Built-up
262,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Bareland,Forest
263,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Grassland
264,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Built-up
265,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Built-up,Forest
266,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Water,Grassland
267,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Grassland
268,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Bareland
269,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Built-up
270,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,Forest
271,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Shrubland,Grassland
272,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Grassland
273,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Bareland
274,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Built-up
275,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Grassland,Forest
276,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Wetland,Grassland
277,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Grassland
278,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Bareland,Built-up
279,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Grassland
280,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Bareland
281,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Built-up
282,NULL,NULL,Grassland,NULL,Non_Wetland,Built-up,Built-up,Forest
283,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Grassland
284,NULL,NULL,Grassland,NULL,Non_Wetland,Water,NULL,Forest
285,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Grassland
286,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Wetland
287,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Bareland
288,NULL,NULL,Grassland,NULL,Non_Wetland,Water,Grassland,Forest
289,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Grassland
290,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Grassland,Forest
291,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,Forest
292,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
293,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
294,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
295,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
296,NULL,NULL,Grassland,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
297,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Grassland
298,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Wetland
299,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,NULL,Forest
300,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
301,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Wetland
302,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Grassland,Forest
303,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
304,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
305,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Wetland,Forest
306,NULL,NULL,Grassland,Non_Water,Non_Wetland,Grassland,Water,Grassland
307,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Grassland
308,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Wetland
309,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,NULL,Forest
310,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
311,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Wetland
312,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Grassland,Forest
313,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
314,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
315,NULL,NULL,Grassland,Non_Water,Non_Wetland,Wetland,Wetland,Forest
316,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Grassland
317,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,NULL,Built-up
318,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
319,NULL,NULL,Grassland,Non_Water,Non_Wetland,Bareland,Wetland,Grassland
320,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
321,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
