Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21MZV_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21MZV_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MZV_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MZV_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MZV_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MZV_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21MZV_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,NULL
5,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
6,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,NULL
7,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
8,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,NULL
9,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
10,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,NULL
11,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Water,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,NULL
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,NULL
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,NULL
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Wetland,NULL
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,NULL
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,NULL
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,NULL
27,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,NULL
28,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,NULL
29,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,NULL
30,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Forest,NULL
31,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Grassland,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,Bareland,Forest,NULL
33,NULL,NULL,Grassland,NULL,Non_Wetland,Forest,Forest,NULL
34,NULL,NULL,Wetland,NULL,Wetland,NULL,Forest,NULL
35,NULL,NULL,Wetland,NULL,Wetland,Grassland,Grassland,NULL
36,NULL,NULL,Wetland,NULL,Wetland,Grassland,Water,NULL
37,NULL,NULL,Wetland,NULL,Wetland,Grassland,Forest,NULL
38,NULL,NULL,Wetland,NULL,Wetland,Wetland,Wetland,NULL
39,NULL,NULL,Wetland,NULL,Wetland,Wetland,Water,NULL
40,NULL,NULL,Wetland,NULL,Wetland,Wetland,Forest,NULL
41,NULL,NULL,Wetland,NULL,Wetland,Bareland,Wetland,NULL
42,NULL,NULL,Wetland,NULL,Wetland,Bareland,Water,NULL
43,NULL,NULL,Wetland,NULL,Wetland,Bareland,Forest,NULL
44,NULL,NULL,Wetland,NULL,Wetland,Water,Wetland,NULL
45,NULL,NULL,Wetland,NULL,Wetland,Water,Water,NULL
46,NULL,NULL,Wetland,NULL,Wetland,Water,Forest,NULL
47,NULL,NULL,Wetland,NULL,Wetland,Forest,Wetland,NULL
48,NULL,NULL,Wetland,NULL,Wetland,Forest,Forest,NULL
49,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Wetland,NULL
50,NULL,NULL,Bareland,NULL,Non_Wetland,Grassland,Forest,NULL
