Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LUJ_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LUJ_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LUJ_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LUJ_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LUJ_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LUJ_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LUJ_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Forest
4,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Bareland,Forest
5,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
9,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
