Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_19LHE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19LHE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LHE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LHE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LHE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LHE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LHE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_19LHE_M_R
29,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Water
30,NULL,NULL,Shrubland,Water,Non_Wetland,NULL,NULL,Forest
31,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
32,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
33,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
34,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Wetland
35,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
36,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
37,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Water
38,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
39,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
40,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
41,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
42,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Wetland
43,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
44,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
45,NULL,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
46,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,NULL
47,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
48,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Cropland
49,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Wetland
50,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Water
52,NULL,NULL,Grassland,Water,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
54,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
55,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
56,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
57,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
58,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
59,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
60,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Wetland
62,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
63,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
64,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
65,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
67,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
68,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Cropland
69,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Wetland
70,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
71,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Water
72,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
73,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,NULL
74,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
75,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Cropland
76,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
77,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Bareland
78,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Water
79,NULL,NULL,Wetland,Non_Water,Wetland,NULL,NULL,Forest
80,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,NULL
81,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
82,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Cropland
83,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Wetland
84,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Bareland
85,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Water
86,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Forest
87,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
88,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
89,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
90,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
91,NULL,NULL,Lichens_and_Mosses,Non_Water,Non_Wetland,NULL,NULL,Grassland
92,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Grassland
93,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Forest
94,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
95,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
96,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
97,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Wetland
98,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
99,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
100,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
101,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
102,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
103,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Water
104,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
105,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
106,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Wetland
107,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
108,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
109,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
110,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
111,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
112,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
113,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
114,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
115,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
116,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
117,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
118,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
119,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
120,NULL,NULL,Built-up,Non_Water,Non_Wetland,NULL,NULL,Forest
121,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
122,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
123,NULL,NULL,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
124,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
125,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
126,NULL,NULL,Water,NULL,Water,NULL,NULL,Wetland
127,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
128,NULL,NULL,Water,NULL,Water,NULL,NULL,Water
129,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
130,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Grassland
131,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Wetland
132,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Water
133,NULL,NULL,Water,Non_Water,Water,NULL,NULL,Forest
134,NULL,NULL,Water,Water,Water,NULL,NULL,Grassland
135,NULL,NULL,Water,Water,Water,NULL,NULL,Wetland
136,NULL,NULL,Water,Water,Water,NULL,NULL,Bareland
137,NULL,NULL,Water,Water,Water,NULL,NULL,Water
138,NULL,NULL,Water,Water,Water,NULL,NULL,Forest
139,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
140,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
141,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
142,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
143,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
144,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
145,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Water
146,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
147,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
148,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
149,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Wetland
150,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Water
151,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
152,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,NULL
153,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Cropland
155,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Wetland
156,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Water
157,NULL,NULL,Forest,Water,Non_Wetland,NULL,NULL,Forest
158,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
159,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
160,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
161,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
162,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
163,NULL,Cropland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
164,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
165,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
166,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
170,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
171,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Forest
172,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
173,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
175,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
176,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
177,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
178,NULL,Cropland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
179,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
180,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
182,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
183,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
184,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
185,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
186,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
187,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Water
188,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
189,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
190,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
191,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
192,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
193,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
194,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
195,NULL,Wetland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
196,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
197,NULL,Wetland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
198,NULL,Wetland,NULL,Water,Non_Wetland,NULL,NULL,Grassland
199,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
200,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
201,NULL,Wetland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
202,NULL,Wetland,Shrubland,Water,Non_Wetland,NULL,NULL,Grassland
203,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
204,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
205,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
206,NULL,Wetland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
207,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
208,NULL,Wetland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
209,NULL,Wetland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
210,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
211,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
213,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
214,NULL,Wetland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
215,NULL,Wetland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
216,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,NULL
217,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Grassland
218,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Wetland
219,NULL,Wetland,Wetland,NULL,Wetland,NULL,NULL,Forest
220,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,NULL
221,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
222,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Wetland
223,NULL,Wetland,Wetland,Non_Water,Wetland,NULL,NULL,Forest
224,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Grassland
225,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Cropland
226,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Wetland
227,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Water
228,NULL,Wetland,Wetland,Water,Wetland,NULL,NULL,Forest
229,NULL,Wetland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
230,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
231,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
232,NULL,Wetland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
233,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,NULL
234,NULL,Wetland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,Wetland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
236,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
237,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
238,NULL,Wetland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
239,NULL,Wetland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
240,NULL,Wetland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
241,NULL,Wetland,Water,NULL,Water,NULL,NULL,Grassland
242,NULL,Wetland,Water,NULL,Water,NULL,NULL,Wetland
243,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Grassland
244,NULL,Wetland,Water,Non_Water,Water,NULL,NULL,Wetland
245,NULL,Wetland,Water,Water,Water,NULL,NULL,Grassland
246,NULL,Wetland,Water,Water,Water,NULL,NULL,Wetland
247,NULL,Wetland,Water,Water,Water,NULL,NULL,Water
248,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
249,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
250,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Wetland
251,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
252,NULL,Wetland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
253,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,NULL
254,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
255,NULL,Wetland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
256,NULL,Wetland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
257,NULL,Bareland,Wetland,Water,Wetland,NULL,NULL,Water
258,NULL,Bareland,Water,Water,Water,NULL,NULL,Water
259,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
260,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
261,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
262,NULL,Built-up,NULL,Non_Water,Non_Wetland,NULL,NULL,Forest
263,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
264,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
265,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Grassland
266,NULL,Built-up,Shrubland,Non_Water,Non_Wetland,NULL,NULL,Built-up
267,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
268,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
269,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
270,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
271,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
272,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
273,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
274,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Bareland
275,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Built-up
276,NULL,Built-up,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
277,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
278,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
279,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
280,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
281,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
282,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
283,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
284,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
285,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
286,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Grassland
287,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Water
288,NULL,Built-up,Wetland,NULL,Wetland,NULL,NULL,Forest
289,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
290,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Forest
291,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
292,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Bareland
293,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
294,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
295,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
296,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
297,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
298,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
299,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
300,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Bareland
301,NULL,Built-up,Built-up,Non_Water,Non_Wetland,NULL,NULL,Built-up
302,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
303,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
304,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Water
305,NULL,Built-up,Water,Water,Water,NULL,NULL,Water
306,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
307,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
308,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
309,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
310,NULL,Built-up,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
311,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
312,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
313,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
314,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
315,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Water
316,NULL,Water,Grassland,Non_Water,Non_Wetland,NULL,NULL,Forest
317,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
318,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Water
319,NULL,Water,Grassland,Water,Non_Wetland,NULL,NULL,Forest
320,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
321,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
322,NULL,Water,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
323,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Grassland
324,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Water
325,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,Forest
326,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Water
327,NULL,Water,Wetland,Non_Water,Wetland,NULL,NULL,Forest
328,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Grassland
329,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Wetland
330,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Bareland
331,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Water
332,NULL,Water,Wetland,Water,Wetland,NULL,NULL,Forest
333,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
334,NULL,Water,Water,NULL,Water,NULL,NULL,Water
335,NULL,Water,Water,Non_Water,Water,NULL,NULL,Forest
336,NULL,Water,Water,Water,Water,NULL,NULL,Water
337,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
338,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
339,NULL,Water,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
340,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
341,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
