Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_20KQB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KQB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KQB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KQB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KQB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20KQB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20KQB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_20KQB_M_R
29,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
30,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
31,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
32,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
33,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
34,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
35,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Water
36,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
37,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
38,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
39,NULL,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
40,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,NULL
41,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
42,NULL,NULL,Cropland,Water,Non_Wetland,NULL,NULL,Forest
43,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
44,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Grassland
45,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Bareland
46,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,Forest
47,NULL,NULL,Wetland,Water,Wetland,NULL,NULL,Grassland
48,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
49,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
50,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Bareland
51,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Built-up
52,NULL,NULL,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Forest
53,NULL,NULL,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,Forest
54,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
55,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
56,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
57,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
58,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
59,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
60,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Grassland
61,NULL,NULL,Bareland,Non_Water,Non_Wetland,NULL,NULL,Bareland
62,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,NULL
63,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
64,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
65,NULL,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Forest
66,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
67,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
68,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
69,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
70,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
71,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Water
72,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
73,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
74,NULL,NULL,Water,NULL,Water,NULL,NULL,Grassland
75,NULL,NULL,Water,NULL,Water,NULL,NULL,Cropland
76,NULL,NULL,Water,NULL,Water,NULL,NULL,Bareland
77,NULL,NULL,Water,NULL,Water,NULL,NULL,Forest
78,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
79,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
80,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
81,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
82,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
83,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
84,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
85,NULL,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
86,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
87,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
88,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
89,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
90,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
91,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Water
92,NULL,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
93,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
94,NULL,Cropland,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
95,NULL,Cropland,NULL,Water,Non_Wetland,NULL,NULL,NULL
96,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
97,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
98,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
99,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Bareland
100,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
101,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
102,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
103,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
104,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
105,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
106,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
107,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
108,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,NULL
109,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
110,NULL,Cropland,Grassland,Non_Water,Non_Wetland,NULL,NULL,Cropland
111,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,NULL
112,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
113,NULL,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
114,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
115,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
116,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
117,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Wetland
118,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
119,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
120,NULL,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
121,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
122,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
123,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Cropland
124,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Bareland
125,NULL,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Forest
126,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
127,NULL,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
128,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
129,NULL,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
130,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,NULL
131,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Grassland
132,NULL,Cropland,Wetland,Water,Wetland,NULL,NULL,Bareland
133,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,NULL
134,NULL,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
135,NULL,Cropland,Lichens_and_Mosses,Water,Non_Wetland,NULL,NULL,NULL
136,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
137,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
138,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
139,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
140,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
141,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Water
142,NULL,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
143,NULL,Cropland,Bareland,Non_Water,Non_Wetland,NULL,NULL,Forest
144,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,NULL
145,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Grassland
146,NULL,Cropland,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
147,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
148,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
149,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
150,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
151,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
152,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
153,NULL,Cropland,Built-up,Non_Water,Non_Wetland,NULL,NULL,Grassland
154,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,NULL
155,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Grassland
156,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Bareland
157,NULL,Cropland,Built-up,Water,Non_Wetland,NULL,NULL,Forest
158,NULL,Cropland,Water,NULL,Water,NULL,NULL,NULL
159,NULL,Cropland,Water,NULL,Water,NULL,NULL,Grassland
160,NULL,Cropland,Water,NULL,Water,NULL,NULL,Cropland
161,NULL,Cropland,Water,NULL,Water,NULL,NULL,Forest
162,NULL,Cropland,Water,Water,Water,NULL,NULL,Grassland
163,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
164,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
165,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
166,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
167,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
168,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Forest
169,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Bareland
170,NULL,Cropland,Forest,Non_Water,Non_Wetland,NULL,NULL,Forest
171,NULL,Cropland,Forest,Water,Non_Wetland,NULL,NULL,Grassland
172,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
173,NULL,Wetland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
174,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
175,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
176,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Bareland
177,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Built-up
178,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,Forest
179,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
180,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
181,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Built-up
182,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
183,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
184,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
185,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
186,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
187,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
188,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
189,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
190,NULL,Built-up,Grassland,Water,Non_Wetland,NULL,NULL,Bareland
191,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
192,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
193,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
194,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
195,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
196,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
197,NULL,Built-up,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
198,NULL,Built-up,Cropland,Water,Non_Wetland,NULL,NULL,Bareland
199,NULL,Built-up,Wetland,Non_Water,Wetland,NULL,NULL,Grassland
200,NULL,Built-up,Wetland,Water,Wetland,NULL,NULL,Grassland
201,NULL,Built-up,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Grassland
202,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
203,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
204,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
205,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
206,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Built-up
207,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Water
208,NULL,Built-up,Bareland,NULL,Non_Wetland,NULL,NULL,Forest
209,NULL,Built-up,Bareland,Water,Non_Wetland,NULL,NULL,Bareland
210,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
211,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
212,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
213,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
214,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
215,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
216,NULL,Built-up,Built-up,Water,Non_Wetland,NULL,NULL,Built-up
217,NULL,Built-up,Water,NULL,Water,NULL,NULL,Forest
218,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
219,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
220,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
221,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
222,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,Forest
223,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
224,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
225,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
226,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
227,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,Water
228,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
229,NULL,Water,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
230,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
231,NULL,Water,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
232,NULL,Water,Water,NULL,Water,NULL,NULL,Forest
233,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,Forest
234,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
235,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
236,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,Forest
237,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
238,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
239,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
240,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
241,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
242,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
243,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Built-up
244,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
245,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
246,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
247,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
248,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
249,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
250,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
251,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
252,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
253,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
254,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Built-up
255,NULL,Forest,Built-up,NULL,Non_Wetland,NULL,NULL,Forest
256,NULL,Forest,Water,NULL,Water,NULL,NULL,Forest
257,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,NULL
258,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
259,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
260,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Bareland
261,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Built-up
262,NULL,Forest,Forest,NULL,Non_Wetland,NULL,NULL,Forest
263,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
264,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
265,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
266,Grassland,NULL,NULL,NULL,Non_Wetland,NULL,NULL,Forest
267,Grassland,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
268,Grassland,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
269,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
270,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
271,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
272,Grassland,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
273,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
274,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
275,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
276,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
277,Grassland,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
278,Grassland,NULL,Grassland,Non_Water,Non_Wetland,NULL,NULL,Grassland
279,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
280,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
281,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
282,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
283,Grassland,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
284,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,NULL
285,Grassland,NULL,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
286,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
287,Grassland,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
288,Grassland,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
289,Grassland,NULL,Water,NULL,Water,NULL,NULL,Grassland
290,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
291,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
292,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Cropland
293,Grassland,NULL,Forest,NULL,Non_Wetland,NULL,NULL,Forest
294,Grassland,NULL,Forest,Non_Water,Non_Wetland,NULL,NULL,Grassland
295,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,NULL
296,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Grassland
297,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Cropland
298,Grassland,Cropland,NULL,NULL,Non_Wetland,NULL,NULL,Forest
299,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
300,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
301,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
302,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Water
303,Grassland,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
304,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
305,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Grassland
306,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Cropland
307,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Bareland
308,Grassland,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,Forest
309,Grassland,Cropland,Grassland,Water,Non_Wetland,NULL,NULL,Grassland
310,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
311,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Grassland
312,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Cropland
313,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Bareland
314,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Built-up
315,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Water
316,Grassland,Cropland,Cropland,NULL,Non_Wetland,NULL,NULL,Forest
317,Grassland,Cropland,Cropland,Non_Water,Non_Wetland,NULL,NULL,Grassland
318,Grassland,Cropland,Cropland,Water,Non_Wetland,NULL,NULL,Grassland
319,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,NULL
320,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Grassland
321,Grassland,Cropland,Wetland,NULL,Wetland,NULL,NULL,Forest
322,Grassland,Cropland,Lichens_and_Mosses,NULL,Non_Wetland,NULL,NULL,Cropland
323,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Grassland
324,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Cropland
325,Grassland,Cropland,Bareland,NULL,Non_Wetland,NULL,NULL,Bareland
326,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
327,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Grassland
328,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Cropland
329,Grassland,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,Bareland
330,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Grassland
331,Grassland,Cropland,Water,NULL,Water,NULL,NULL,Forest
332,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
333,Grassland,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,Grassland
