Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21NTB_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21NTB_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21NTB_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21NTB_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21NTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21NTB_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21NTB_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21NTB_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
5,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
7,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
8,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
9,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Forest
10,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
11,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
12,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
13,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
14,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
15,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
16,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
17,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
18,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
19,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
20,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
21,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
22,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
23,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
24,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
25,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
26,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
27,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
28,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
29,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Shrubland,Grassland
30,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,NULL
31,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Grassland
32,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Grassland,Forest
33,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,NULL
34,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Grassland
35,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Wetland
36,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Water
37,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Wetland,Forest
38,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Grassland
39,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Bareland,Forest
40,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,NULL
41,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Grassland
42,NULL,NULL,Shrubland,NULL,Non_Wetland,Wetland,Forest,Forest
43,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Shrubland,Grassland
44,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Grassland
45,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Bareland
46,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Built-up
47,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Grassland,Forest
48,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Wetland,Grassland
49,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Grassland
50,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Bareland
51,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Built-up
52,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Bareland,Forest
53,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Water,Grassland
54,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Grassland
55,NULL,NULL,Shrubland,NULL,Non_Wetland,Bareland,Forest,Forest
56,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Grassland,Grassland
57,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Bareland,Grassland
58,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Water,Grassland
59,NULL,NULL,Shrubland,NULL,Non_Wetland,Water,Forest,Grassland
60,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Grassland
61,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Grassland,Forest
62,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Grassland
63,NULL,NULL,Shrubland,NULL,Non_Wetland,Forest,Forest,Forest
64,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
65,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
66,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Grassland,Wetland,Wetland
67,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Grassland,Grassland
68,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Grassland
69,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
70,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Bareland,Wetland,Wetland
71,NULL,NULL,Shrubland,Non_Water,Non_Wetland,Water,Wetland,Grassland
72,NULL,NULL,Shrubland,Water,Non_Wetland,Grassland,Forest,Bareland
73,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Grassland,Grassland
74,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Wetland,Wetland
75,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Grassland
76,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Wetland
77,NULL,NULL,Shrubland,Water,Non_Wetland,Wetland,Water,Water
78,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Grassland,Forest
79,NULL,NULL,Shrubland,Water,Non_Wetland,Bareland,Water,Grassland
80,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Grassland,Forest
81,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Water,Grassland
82,NULL,NULL,Shrubland,Water,Non_Wetland,Water,Forest,Water
83,NULL,NULL,Grassland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
84,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Grassland,Grassland
85,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Wetland,Grassland
86,NULL,NULL,Grassland,NULL,Non_Wetland,Grassland,Forest,Grassland
87,NULL,NULL,Grassland,NULL,Non_Wetland,Wetland,Wetland,Grassland
