Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_24MVT_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_24MVT_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_24MVT_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_24MVT_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24MVT_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24MVT_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24MVT_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_24MVT_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Grassland
30,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Bareland
31,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Water,Forest
32,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,NULL
33,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Grassland
34,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Forest,Forest
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,NULL
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Cropland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Wetland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Bareland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Built-up
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Water
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,NULL,Forest
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
47,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
48,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
49,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Water
50,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
51,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
52,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
53,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
54,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
55,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Bareland
56,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
57,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Water
58,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
59,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,NULL
60,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
61,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Cropland
62,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Bareland
63,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
64,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,NULL
65,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Grassland
66,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Cropland
67,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Wetland
68,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Bareland
69,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Built-up,Forest
70,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,NULL
71,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
72,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Cropland
73,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Bareland
74,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Water
75,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
77,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
78,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
79,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
83,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Wetland
84,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
85,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
86,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Water
87,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
88,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
89,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
90,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
91,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Wetland
92,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
93,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
94,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
95,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
96,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
97,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
98,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
99,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
101,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
102,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
103,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
104,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
105,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
106,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Cropland
107,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Bareland
108,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
109,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,NULL
110,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
111,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Cropland
112,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Bareland
113,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Built-up
114,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
115,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,NULL
116,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
117,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
118,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
119,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
120,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Wetland
121,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Bareland
122,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
123,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
124,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
125,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Wetland
126,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,NULL
127,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Grassland
128,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Wetland
129,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Shrubland,Forest
130,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Cropland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
147,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
148,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Water
149,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
150,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
154,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,NULL
155,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
156,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Cropland
157,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Built-up
158,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
159,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,NULL
160,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Grassland
161,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
162,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
164,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
167,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Cropland
168,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Bareland
169,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Built-up
170,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Forest
171,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,NULL
172,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Grassland
173,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Cropland
174,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Bareland
175,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Built-up
176,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
177,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,NULL
178,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
179,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Cropland
180,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Bareland
181,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Built-up
182,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Forest
183,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
184,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
185,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
186,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Bareland
187,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
188,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
189,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,NULL
190,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Grassland
191,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Cropland
192,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Wetland
193,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Water
194,NULL,NULL,NULL,NULL,Non_Wetland,Water,NULL,Forest
195,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,NULL
196,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Grassland
197,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Wetland
198,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
199,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Forest
200,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
201,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Cropland
202,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Wetland
203,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Bareland
204,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Water
205,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Forest
206,NULL,NULL,NULL,NULL,Non_Wetland,Water,Bareland,Grassland
207,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,NULL
208,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
209,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Cropland
210,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Water
211,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Forest
212,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,NULL
213,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
214,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
215,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Wetland
216,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
217,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
218,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Grassland
219,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Cropland
220,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Wetland
221,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Built-up
222,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
223,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
224,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
225,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Cropland
226,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Wetland
227,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
228,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
229,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Built-up,Grassland
230,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,NULL
231,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
232,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
233,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,NULL
234,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Grassland
235,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Cropland
236,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Wetland
237,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,NULL,Water
238,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,NULL
239,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
240,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Cropland
241,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Wetland
242,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Water
243,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Forest
244,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,NULL
245,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
246,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Wetland
247,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Forest
248,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Water,Grassland
249,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,NULL
250,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Grassland
251,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Cropland
252,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Wetland
253,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Water
254,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
255,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
256,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Grassland
257,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Cropland
258,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
259,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Built-up
260,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Water
261,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
262,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
263,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Grassland
264,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Cropland
265,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Wetland
266,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,Water
267,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
268,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Grassland
269,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Wetland
270,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,Forest
271,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,NULL
272,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Grassland
273,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Forest,Forest
274,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
275,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
276,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Cropland
277,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Forest
278,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,NULL
279,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Grassland
280,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Cropland
281,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Shrubland,Forest
282,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
283,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
284,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Cropland
285,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Water,Grassland
286,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,NULL
287,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,NULL,Wetland
288,NULL,NULL,NULL,Non_Water,Non_Wetland,Cropland,Shrubland,Forest
289,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,NULL,Grassland
290,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Shrubland,Wetland
291,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Grassland,Grassland
292,NULL,NULL,NULL,Non_Water,Non_Wetland,Built-up,Shrubland,NULL
293,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,NULL
294,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Grassland
295,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
296,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,NULL
297,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
298,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Cropland
299,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Wetland
300,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Forest
301,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,NULL
302,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Grassland,Grassland
303,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,NULL
304,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Grassland
305,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,NULL
306,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Grassland
307,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Wetland
308,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,NULL,Water
309,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,NULL
310,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Grassland
311,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Wetland
312,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Shrubland,Forest
313,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Grassland,Grassland
314,NULL,NULL,NULL,Non_Water,Non_Wetland,Forest,Water,NULL
315,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Grassland
316,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Wetland
317,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Water
318,NULL,NULL,NULL,Water,Non_Wetland,NULL,NULL,Forest
319,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,NULL
320,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Grassland
321,NULL,NULL,NULL,Water,Non_Wetland,NULL,Shrubland,Forest
322,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,NULL
323,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Grassland
324,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Cropland
325,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Wetland
326,NULL,NULL,NULL,Water,Non_Wetland,NULL,Grassland,Water
327,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Grassland
328,NULL,NULL,NULL,Water,Non_Wetland,NULL,Water,Water
329,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Grassland
330,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,NULL,Wetland
