Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22MCS_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MCS_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MCS_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MCS_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MCS_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCS_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCS_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22MCS_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,NULL
1,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
3,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
4,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
5,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
6,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Grassland
7,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
8,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
9,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
10,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
11,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
12,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
13,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
14,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
15,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
17,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
18,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
19,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
20,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
21,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
22,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
23,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
24,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
25,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
26,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
27,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
28,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
29,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
33,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
34,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
35,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
37,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
39,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
40,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
42,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
44,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
46,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
47,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
48,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
50,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
51,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
52,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Grassland
54,NULL,NULL,NULL,NULL,Non_Wetland,Water,Forest,Forest
55,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Bareland,Forest
56,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
57,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Wetland
58,NULL,NULL,NULL,Water,Non_Wetland,Water,Wetland,Wetland
