Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_22NEG_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NEG_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NEG_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEG_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEG_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEG_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEG_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_22NEG_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,Wetland,Wetland
1,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
2,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
3,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
4,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Wetland
5,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
6,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Cropland
7,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Wetland
8,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Bareland
9,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Water,Wetland
10,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
11,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Cropland
12,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
13,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Bareland
14,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
15,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,Grassland
16,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
17,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Wetland
18,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Water
19,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
20,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
21,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Wetland
22,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Bareland
23,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
